# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
6.46, 0.25, 0.5360, 0.0094, -8.5635e-02, 0.4644, 0.0051, 5.8221e-02, 0.5239, 0.0465, 5.3999e-01, 3.0874e+04, 25.70907, d<R_roche
5.19, 0.14, 0.3220, 0.0256, -5.4480e-02, 0.2565, 0.0343, 5.1626e+00, 0.2684, 0.0163, -5.0141e-01, 3.4806e+03, 2.78787, collision
5.92, 0.19, 0.3658, 0.0103, -1.8383e-02, 0.3524, 0.0054, 3.0287e-03, 0.3049, 0.0512, 6.9568e-01, 3.1588e+04, 25.13512, collision
5.98, 0.19, 0.4581, 0.0066, -2.0582e-01, 0.5664, 0.0021, 5.2858e-01, 0.6403, 0.0069, 6.1538e-01, 3.7465e+04, 33.49480, d<R_roche
5.17, 0.08, 0.3225, 0.0011, 5.9030e-01, 0.4697, 0.0045, -3.6605e-01, 0.3462, 0.0013, 1.4153e-01, 8.6582e+04, 66.63607, collision
5.98, 0.01, 0.0127, 0.0001, 3.1778e-03, 0.0203, 0.0003, 4.4127e-05, 0.0329, 0.0003, 7.2250e-03, 1.0000e+05, 71.10001, tmax
7.91, 0.01, 0.0226, 0.0001, 2.9776e-03, 0.0216, 0.0003, 1.1884e-02, 0.0446, 0.0001, 1.9033e-03, 1.0000e+05, 71.20618, tmax
7.77, 0.03, 0.0428, 0.0005, 3.2916e-03, 0.0508, 0.0168, -2.4234e-03, 0.0534, 0.0004, 7.2809e-03, 1.0000e+05, 71.30792, tmax
6.68, 0.04, 0.0472, 0.0005, 2.8185e-03, 0.0624, 0.0004, 3.4504e-03, 0.0734, 0.0032, 8.8017e-04, 1.0000e+05, 71.52045, tmax
9.25, 0.05, 0.0567, 0.0185, 3.1855e-03, 0.0686, 0.0329, -2.3358e-03, 0.1239, 0.0016, 2.2015e-03, 1.0000e+05, 71.63662, tmax
7.56, 0.05, 0.0636, 0.0123, 3.3699e-03, 0.0876, 0.0354, -1.8742e-03, 0.0674, 0.0005, 1.2772e-02, 1.0000e+05, 71.67775, tmax
9.46, 0.08, 0.0905, 0.0329, 3.1009e-03, 0.1063, 0.0590, 1.0170e-02, 0.1661, 0.0082, 1.8993e-02, 1.0000e+05, 71.70166, tmax
8.45, 0.07, 0.0742, 0.0004, 3.0265e-03, 0.0990, 0.0528, 8.2168e-03, 0.1045, 0.0170, 6.6762e-03, 1.0000e+05, 71.73321, tmax
10.73, 0.18, 0.1773, 0.1773, 3.0629e-04, 0.1714, 0.1714, -1.5542e-03, 76778.0783, 1.0000, -1.0017e+00, 8.5381e+02, 0.69998, a<0
3.66, 0.24, 0.0000, 1.0000, -8.0788e-02, 0.0000, 1.0000, 3.7320e-01, 0.0000, 1.0000, 6.8502e-01, 8.6795e+01, 0.08338, collision
5.26, 0.02, 0.0481, 0.0004, 3.8220e-03, 0.0493, 0.0003, -1.0178e-03, 0.0666, 0.0020, 4.3861e-03, 1.0000e+05, 71.83490, tmax
9.95, 0.15, 0.1483, 0.1461, -4.8637e-05, 0.1543, 0.1310, 2.3028e-03, 0.2141, 0.0456, 7.2090e-02, 9.5627e+02, 0.77554, a>0.4R_H
8.57, 0.07, 0.0744, 0.0006, 3.0004e-03, 0.0982, 0.0540, 5.3286e-03, 0.1054, 0.0172, 1.9613e-02, 1.0000e+05, 71.96423, tmax
8.24, 0.08, 0.0803, 0.0020, 3.2227e-03, 0.1154, 0.0561, 1.1076e-02, 0.1125, 0.0303, 1.2299e-02, 1.0000e+05, 72.00164, tmax
9.17, 0.08, 0.0889, 0.0214, 3.1605e-03, 0.1092, 0.0619, 2.9945e-03, 0.1377, 0.0109, 2.5558e-02, 1.0000e+05, 72.21197, tmax
4.63, 0.02, 0.0394, 0.0006, 2.4846e-03, 0.0458, 0.0002, 5.6264e-03, 0.0425, 0.0016, 1.7765e-02, 1.0000e+05, 72.24433, tmax
8.56, 0.07, 0.0751, 0.0003, 3.1292e-03, 0.0976, 0.0559, 7.6597e-04, 0.1021, 0.0145, 1.8728e-02, 1.0000e+05, 72.37497, tmax
4.47, 0.06, 0.0880, 0.0002, 4.8533e-03, 0.1029, 0.0014, 1.7107e-02, 0.1045, 0.0365, 2.0115e-02, 1.0000e+05, 72.41139, tmax
6.26, 0.06, 0.1189, 0.0004, 2.7276e-03, 0.1349, 0.0018, 1.1846e-02, 0.1341, 0.0054, -5.4390e-04, 1.0000e+05, 72.07731, tmax
6.34, 0.08, 0.0908, 0.0014, 3.2887e-03, 0.1422, 0.0012, 2.5928e-03, 0.1232, 0.0019, 1.7818e-02, 1.0000e+05, 72.61089, tmax
4.68, 0.03, 0.0463, 0.0008, 4.1889e-03, 0.0560, 0.0004, 1.2978e-02, 0.0594, 0.0101, -8.3915e-03, 1.0000e+05, 71.77052, tmax
3.56, 0.24, 0.0000, 1.0000, -8.2965e-02, 0.0000, 1.0000, 7.7170e-01, 0.0000, 1.0000, -1.4901e-01, 9.2893e+01, 0.08356, collision
8.58, 0.09, 0.0946, 0.0002, 3.2663e-03, 0.1259, 0.0723, -2.0083e-03, 0.1217, 0.0267, 1.5412e-02, 1.0000e+05, 72.88953, tmax
9.86, 0.10, 0.0987, 0.0962, 3.2665e-05, 0.1051, 0.0861, 1.2763e-02, 0.2540, 0.0619, 7.9563e-02, 1.3661e+03, 1.02536, a>0.4R_H
10.76, 0.08, 0.0852, 0.0852, -6.7154e-03, 0.0780, 0.0780, -1.6440e-02, 110891.1846, 1.0000, -1.0012e+00, 8.5381e+02, 0.67671, a<0
10.68, 0.21, 0.0000, 1.0000, 1.2799e-04, 0.0000, 1.0000, 4.3729e-01, 0.0000, 1.0000, 5.3225e-01, 1.3380e+02, 0.11464, collision
5.05, 0.08, 0.0994, 0.0020, 4.4303e-03, 0.1114, 0.0010, 1.6579e-02, 0.1360, 0.0395, 1.6126e-02, 1.0000e+05, 73.26759, tmax
8.51, 0.09, 0.0982, 0.0008, 3.3503e-03, 0.1230, 0.0676, 1.4902e-02, 0.1175, 0.0292, 2.6949e-02, 1.0000e+05, 72.67852, tmax
8.87, 0.02, 0.0214, 0.0045, 2.9900e-03, 0.0325, 0.0051, 4.9696e-03, 0.0789, 0.0007, 4.0464e-02, 1.0000e+05, 71.08303, tmax
8.64, 0.07, 0.1277, 0.0423, 2.9429e-03, 0.0979, 0.0095, 1.4328e-02, 0.1040, 0.0161, 2.5072e-02, 1.0000e+05, 73.69153, tmax
4.76, 0.10, 0.1133, 0.0008, 2.3644e-03, 0.1314, 0.0088, 4.4913e-03, 0.1696, 0.0816, 9.2469e-03, 1.0000e+05, 73.81317, tmax
4.23, 0.10, 0.1868, 0.0009, -1.3199e-03, 0.1728, 0.0013, 5.8586e-03, 0.1412, 0.0017, 9.3777e-03, 1.0000e+05, 73.87212, tmax
8.29, 0.08, 0.0862, 0.0018, 3.2769e-03, 0.1186, 0.0631, -2.2822e-03, 0.1041, 0.0234, 6.4460e-03, 1.0000e+05, 73.96004, tmax
5.96, 0.29, 0.4300, 0.0010, 5.5376e-01, 0.3829, 0.0555, -3.8518e-01, 0.4413, 0.2680, 1.9304e-01, 2.6687e+03, 2.33756, collision
3.88, 0.13, 0.5076, 0.0098, -1.3076e-01, 0.4495, 0.0921, -2.4171e-02, 0.5077, 0.3521, 7.3352e-01, 1.9809e+03, 1.97999, d<R_roche
9.85, 0.13, 0.1280, 0.1266, -1.6079e-05, 0.1344, 0.1128, 1.6881e-02, 0.2610, 0.0696, 9.2139e-02, 1.0587e+03, 0.82363, a>0.4R_H
5.33, 0.29, 0.2875, 0.2546, 2.5623e-02, 0.2592, 0.0513, 1.2743e+00, 0.3925, 0.1870, -3.3318e-01, 1.1793e+03, 1.04580, collision
7.61, 0.05, 0.2437, 0.0008, -3.5562e-04, 0.2195, 0.0419, 2.2275e-02, 0.1452, 0.0010, 2.5319e-02, 1.0000e+05, 74.56424, tmax
10.21, 0.24, 0.2365, 0.2365, -2.2366e-05, 0.2624, 0.2624, -8.5977e-03, 0.3426, 0.3426, 1.8346e-01, 8.5381e+02, 0.73322, a>0.4R_H
8.26, 0.15, 0.1547, 0.0115, 3.2796e-03, 0.2070, 0.1260, 8.0792e-03, 0.1804, 0.0827, 8.4650e-03, 1.0000e+05, 74.78511, tmax
6.18, 0.00, 0.2113, 0.0002, 6.9294e-04, 0.1860, 0.0002, 3.6536e-03, 0.1110, 0.0004, 8.2909e-03, 1.0000e+05, 73.84229, tmax
8.20, 0.01, 0.0104, 0.0003, 3.4419e-03, 0.0219, 0.0002, 1.5500e-02, 0.0505, 0.0007, -8.7598e-04, 1.0000e+05, 71.17881, tmax
3.70, 0.01, 0.0000, 1.0000, -9.5057e-02, 0.0000, 1.0000, 4.9240e-01, 0.0000, 1.0000, 6.3214e-02, 5.6025e+02, 0.47717, collision
5.55, 0.10, 0.1328, 0.0042, 2.5520e-03, 0.1423, 0.0001, 1.8280e-02, 0.1648, 0.0512, 2.4030e-02, 1.0000e+05, 73.94798, tmax
