4.08, 0.1919, 0.1960, 0.1639, 0.1826, 9.9869e+03, 20.80929
4.21, 0.2045, 0.1821, 0.1562, 0.1900, 6.7317e+04, 135.15707
4.11, 0.3154, 0.2927, 0.2991, 0.3089, 1.7904e+05, 369.76778
4.16, 0.2357, 0.2008, 0.1636, 0.1592, 1.1173e+05, 225.86170
4.12, 0.2349, 0.2716, 0.2146, 0.1691, 7.4015e+04, 151.98125
4.26, 0.2258, 0.1951, 0.2376, 0.1628, 1.8831e+05, 369.70835
4.09, 0.2946, 0.3784, 0.2046, 0.5498, 1.4303e+05, 295.91880
4.40, 0.2981, 0.2777, 0.2133, 0.2919, 2.9422e+05, 558.94703
4.17, 0.2055, 0.1862, 0.1773, 0.1306, 6.1736e+04, 126.29743
4.31, 0.1942, 0.1944, 0.1733, 0.1661, 1.8569e+05, 362.39083
4.22, 0.2184, 0.2806, 0.1563, 0.1285, 1.3910e+05, 274.84926
4.36, 0.3673, 0.4384, 0.3931, 0.1951, 3.1568e+05, 602.72433
4.41, 0.2013, 0.2616, 0.1415, 0.1117, 8.4447e+04, 165.40073
4.13, 0.2680, 0.2315, 0.1924, 0.1519, 1.0640e+05, 219.31732
4.23, 0.2386, 0.2438, 0.1606, 0.1862, 8.2217e+04, 164.00681
4.18, 0.2773, 0.5585, 0.4577, 0.5515, 2.0433e+05, 408.42079
4.24, 0.2430, 0.2076, 0.1407, 0.1561, 1.0527e+05, 209.39463
4.32, 42126.3743, 157644.5869, 0.2108, 0.1663, 2.2200e+05, 429.50659
4.14, 0.2681, 0.2373, 0.1840, 0.1619, 1.8910e+05, 385.09743
4.27, 445190.1068, 505158.7863, 0.3681, 0.1719, 3.0400e+05, 589.94363
4.37, 0.1835, 0.1903, 0.1470, 0.1341, 2.4765e+05, 470.37757
4.19, 0.2310, 0.2306, 0.1947, 0.1602, 1.4776e+05, 296.10725
4.28, 0.2364, 0.1705, 0.1665, 0.1804, 9.9332e+04, 193.67815
4.33, 0.1975, 0.2091, 0.2308, 0.1272, 2.5092e+05, 486.32872
4.42, 0.2806, 0.2205, 0.2333, 0.1741, 4.4683e+05, 841.11341
4.45, 0.2699, 0.2021, 0.1550, 0.1292, 5.4511e+05, 1010.40073
4.38, 0.1849, 0.1661, 0.1911, 0.0976, 2.7871e+05, 528.97412
4.29, 0.2461, 0.2294, 0.2031, 0.1688, 2.6985e+05, 523.01666
7.05, 0.0074, 0.0142, 0.0220, 0.1607, 3.0000e+04, 57.08082
4.46, 0.2208, 0.2011, 0.1279, 0.1938, 1.8397e+05, 351.07159
7.06, 0.0020, 0.0088, 0.0140, 0.1631, 6.0000e+03, 11.49338
7.07, 0.0073, 0.0157, 0.0271, 0.2002, 4.4000e+04, 83.30683
4.34, 0.2152, 0.1637, 0.1612, 0.1082, 2.8687e+05, 545.90833
7.10, 0.0042, 0.0040, 0.0254, 0.0967, 4.0000e+03, 7.60488
7.11, 0.0043, 0.0105, 0.0219, 0.1803, 1.0000e+04, 19.50759
7.12, 0.0033, 0.0066, 0.0210, 0.2060, 3.0000e+03, 5.63362
7.13, 0.0022, 0.0062, 0.0153, 0.2177, 3.0000e+03, 5.79397
7.14, 0.0002, 0.0096, 0.0165, 0.2266, 1.0000e+03, 1.86627
7.15, 0.0020, 0.0062, 0.0587, 0.2819, 2.0000e+03, 3.78734
7.16, 0.0019, 0.0104, 0.0314, 0.2778, 3.0000e+03, 5.78778
7.17, 0.0014, 0.0058, 0.0093, 0.1099, 1.0000e+03, 1.88467
7.18, 0.0015, 0.0087, 0.0146, 0.0592, 1.0000e+03, 1.96679
7.19, 0.0018, 0.0067, 0.0386, 0.1525, 2.0000e+03, 3.82749
7.08, 0.0110, 0.0180, 0.0350, 0.1901, 6.8000e+04, 125.76519
7.09, 0.0067, 0.0103, 0.0267, 0.1613, 7.0000e+03, 12.07120
4.39, 0.1719, 0.1869, 0.1472, 0.1677, 2.5385e+05, 481.05282
4.43, 0.2115, 0.3652, 0.2516, 0.3847, 4.1367e+05, 714.68510
4.47, 0.2512, 0.2774, 0.1471, 0.1354, 4.4421e+05, 698.05603
7.00, 0.1859, 0.1424, 0.1301, 0.2499, 9.0600e+05, 1396.96158
4.44, 0.1975, 0.1488, 0.1279, 0.1148, 2.5340e+05, 390.06685
6.95, 0.3899, 0.4521, 243816.1141, 0.7585, 1.2190e+06, 1805.10707
6.90, 0.4923, 0.3946, 0.4397, 0.4911, 1.4219e+06, 2079.97684
4.48, 0.1953, 0.1676, 0.1738, 0.1157, 5.6589e+05, 650.53910
4.49, 0.2578, 0.1728, 0.3588, 0.3317, 6.8715e+05, 781.97383
7.01, 0.3852, 0.3112, 0.2447, 0.2076, 1.5390e+06, 1653.69154
6.96, 0.4486, 0.4022, 0.2873, 0.1615, 1.5727e+06, 1695.14843
7.02, 0.1436, 0.1009, 0.0502, 0.1754, 6.2200e+05, 697.95184
6.91, 0.6576, 0.4927, 0.3759, 0.1445, 1.8139e+06, 1943.63082
6.92, 0.5491, 0.5307, 0.3703, 0.2252, 1.4948e+06, 1598.79641
7.03, 0.2373, 0.1912, 0.1564, 0.2128, 2.5520e+06, 2504.79413
7.04, 0.0322, 0.0322, 0.0323, 0.1738, 3.2300e+05, 360.71577
6.97, 0.3343, 0.2809, 0.1678, 0.1908, 3.6349e+06, 3427.37667
6.93, 0.5398, 0.4408, 0.5190, 0.1989, 2.3745e+06, 2404.36125
6.98, 0.5131, 0.6901, 0.3937, 0.1644, 2.0470e+06, 2089.04568
6.94, 0.3602, 0.4050, 0.2203, 0.1477, 1.7182e+06, 1791.23340
6.99, 0.2827, 0.2433, 0.1800, 0.1745, 3.4178e+06, 3223.04627
6.99, 0.2827, 0.2433, 0.1800, 0.1745, 3.4178e+06, 3223.04627
4.50, 0.2004, 0.1730, 0.1751, 0.1490, 6.9477e+05, 1210.81618
4.60, 0.4362, 0.1934, 359339.3881, 16388.1391, 5.7600e+05, 942.83001
4.70, 0.1670, 0.1473, 0.1053, 0.1023, 8.6432e+05, 1464.79142
4.80, 0.1944, 0.1827, 0.1505, 0.2010, 1.0747e+06, 1787.76207
4.90, 0.2137, 0.1525, 0.1338, 0.1869, 9.5889e+05, 1609.06478
5.00, 0.1901, 0.1311, 0.1893, 0.1071, 8.7318e+05, 1380.76943
5.10, 0.2119, 0.1513, 0.1402, 0.0868, 1.0354e+06, 1706.33055
5.20, 0.3965, 0.5433, 0.3731, 0.3180, 1.4741e+06, 2243.20448
5.30, 0.2175, 0.2467, 0.1755, 0.1315, 1.6244e+05, 300.12600
5.40, 0.1869, 0.1801, 0.1228, 0.1159, 6.1885e+05, 1064.18125
5.50, 0.2186, 0.2194, 0.1122, 0.1139, 7.5224e+05, 1286.28491
5.60, 0.4078, 0.4822, 0.4782, 0.5532, 1.6761e+06, 2637.63807
5.70, 0.3619, 0.2739, 0.1491, 0.1171, 2.0292e+06, 3128.12621
5.80, 0.2275, 0.2962, 0.0906, 0.0769, 1.6223e+06, 2563.46754
5.90, 0.5149, 0.6075, 0.4245, 0.7942, 2.6060e+06, 3874.43042
6.00, 0.1776, 0.2943, 0.1906, 0.1123, 1.3387e+06, 2160.27961
6.10, 0.1895, 0.1384, 0.1504, 0.1231, 3.0085e+06, 4392.89769
6.20, 0.4556, 0.3209, 0.2696, 0.3931, 1.7086e+05, 329.90607
6.30, 0.3877, 0.3278, 0.2928, 0.1506, 3.8272e+05, 728.68765
6.40, 0.3586, 0.4185, 0.1921, 0.1704, 5.4121e+05, 987.70712
6.50, 0.3573, 0.3080, 0.2834, 0.2664, 6.2453e+05, 1103.11819
6.60, 0.4293, 0.3346, 0.2929, 0.1448, 9.4003e+05, 1604.00511
6.70, 0.3316, 0.2803, 0.6598, 0.3571, 2.0410e+06, 2880.53908
6.80, 0.4067, 0.5844, 0.7881, 0.2404, 5.6570e+06, 7517.90925
6.90, 0.3218, 0.3608, 0.3865, 0.1552, 1.1660e+06, 1963.59856
7.00, 0.1710, 0.1726, 0.1450, 0.1795, 1.0180e+06, 1704.60462

