# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
3.73, 0.00, 0.0000, 1.0000, -3.8055e-02, 0.0000, 1.0000, 3.1411e+00, 0.0000, 1.0000, -4.4803e-01, 0.0000, 1.0000, 6.5872e-02, 8.0898e+01, 0.08169, collision
3.55, 0.00, 0.0000, 1.0000, -5.2369e-02, 0.0000, 1.0000, 3.6263e-01, 0.0000, 1.0000, 3.7920e-03, 0.0000, 1.0000, 2.4987e-02, 4.8543e+01, 0.05862, collision
3.61, 0.00, 0.0000, 1.0000, -6.1330e-02, 0.0000, 1.0000, 7.3350e+00, 0.0000, 1.0000, -4.6994e-01, 0.0000, 1.0000, -7.7012e-03, 5.2315e+01, 0.06229, collision
3.66, 0.00, 0.0000, 1.0000, -1.4528e-01, 0.0000, 1.0000, 1.2528e-01, 0.0000, 1.0000, 8.7070e-01, 0.0000, 1.0000, -1.2661e+01, 9.7639e+01, 0.12409, collision
3.85, 0.00, 0.0000, 1.0000, -3.2008e-02, 0.0000, 1.0000, -8.6535e-02, 0.0000, 1.0000, 1.2849e+00, 0.0000, 1.0000, 3.0899e-01, 1.1548e+02, 0.12642, collision
3.95, 0.00, 0.0000, 1.0000, 4.2126e-01, 0.0000, 1.0000, -2.4176e-01, 0.0000, 1.0000, 1.3057e-02, 0.0000, 1.0000, 5.0496e-02, 1.4179e+02, 0.14845, collision
3.89, 0.00, 0.0000, 1.0000, 1.4406e-01, 0.0000, 1.0000, -1.1829e-01, 0.0000, 1.0000, 1.4741e-01, 0.0000, 1.0000, 6.6002e-02, 1.4218e+02, 0.15021, collision
3.88, 0.00, 0.0000, 1.0000, -2.9246e-02, 0.0000, 1.0000, 3.0896e-02, 0.0000, 1.0000, 6.2838e-01, 0.0000, 1.0000, 1.7295e-01, 2.1411e+02, 0.22869, collision
3.90, 0.00, 0.0000, 1.0000, -2.6754e-02, 0.0000, 1.0000, 4.7520e+00, 0.0000, 1.0000, -3.1229e-01, 0.0000, 1.0000, 4.2507e-02, 2.2838e+02, 0.23349, collision
3.92, 0.00, 0.0000, 1.0000, 1.8731e+01, 0.0000, 1.0000, -5.0377e-01, 0.0000, 1.0000, 1.2517e-01, 0.0000, 1.0000, 4.8982e-02, 2.5665e+02, 0.24879, collision
3.75, 0.00, 1238332.4122, 1.0000, -1.0045e+00, 0.0000, 1.0000, 3.5440e+00, 0.0000, 1.0000, -1.0015e+00, 0.0000, 1.0000, -4.1625e-01, 8.5381e+02, 0.30148, a<0
3.91, 0.00, 0.0000, 1.0000, -1.6490e-01, 0.0000, 1.0000, 2.0082e+00, 0.0000, 1.0000, 6.0742e-02, 0.0000, 1.0000, 3.7430e-02, 3.3000e+02, 0.35532, collision
3.84, 0.00, 0.0000, 1.0000, 1.0621e+00, 0.0000, 1.0000, 1.3280e+00, 0.0000, 1.0000, -6.6220e-01, 0.0000, 1.0000, 2.2624e-01, 3.7125e+02, 0.38604, collision
3.96, 0.00, 0.0000, 1.0000, -3.8148e-02, 0.0000, 1.0000, 1.2332e-01, 0.0000, 1.0000, 1.8727e-01, 0.0000, 1.0000, 1.4293e-01, 3.9628e+02, 0.40514, collision
