# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.73, 0.00, 0.0000, 1.0000, -3.7314e-02, 0.0000, 1.0000, -3.4809e-02, 0.0000, 1.0000, 5.4172e-01, 0.0000, 1.0000, -2.1197e-01, 0.0000, 1.0000, 7.3725e-03, 4.0517e+01, 0.04944, collision
3.69, 0.00, 0.0000, 1.0000, -6.3014e-02, 0.0000, 1.0000, -5.5506e-02, 0.0000, 1.0000, 2.2946e-01, 0.0000, 1.0000, -7.9463e-03, 0.0000, 1.0000, 1.8682e-02, 4.2640e+01, 0.05071, collision
3.57, 0.00, 0.0000, 1.0000, -2.3375e-03, 0.0000, 1.0000, -1.6114e-01, 0.0000, 1.0000, 3.5457e-01, 0.0000, 1.0000, 2.4579e-02, 0.0000, 1.0000, 2.2118e-02, 4.5324e+01, 0.05369, collision
3.86, 0.00, 0.0000, 1.0000, -1.3664e-01, 0.0000, 1.0000, 1.7909e-01, 0.0000, 1.0000, 9.2921e-02, 0.0000, 1.0000, -2.4467e-03, 0.0000, 1.0000, 3.1494e-02, 4.3572e+01, 0.04986, collision
3.62, 0.00, 0.0000, 1.0000, 3.4926e-01, 0.0000, 1.0000, -2.1636e-01, 0.0000, 1.0000, 3.1114e-02, 0.0000, 1.0000, 8.8249e-03, 0.0000, 1.0000, 1.3214e-03, 6.3860e+01, 0.07281, collision
3.87, 0.00, 0.0000, 1.0000, 3.5156e-01, 0.0000, 1.0000, -2.7166e-01, 0.0000, 1.0000, 2.5140e-01, 0.0000, 1.0000, -1.4323e-01, 0.0000, 1.0000, 5.6271e-02, 5.8798e+01, 0.07022, collision
3.99, 0.00, 0.0000, 1.0000, -5.2970e-03, 0.0000, 1.0000, -1.8655e-01, 0.0000, 1.0000, 3.6659e-01, 0.0000, 1.0000, 1.0874e-01, 0.0000, 1.0000, -6.7797e-03, 5.0892e+01, 0.05591, collision
3.96, 0.00, 0.0000, 1.0000, -1.2431e-02, 0.0000, 1.0000, 2.9762e-04, 0.0000, 1.0000, -4.5668e-02, 0.0000, 1.0000, 1.1275e-01, 0.0000, 1.0000, 9.6957e-03, 1.9170e+01, 0.02250, collision
3.90, 0.00, 0.0000, 1.0000, -6.4683e-02, 0.0000, 1.0000, 6.6894e-02, 0.0000, 1.0000, 3.1652e-01, 0.0000, 1.0000, -1.9535e-01, 0.0000, 1.0000, 2.4410e-02, 6.4355e+01, 0.07254, collision
3.85, 0.00, 0.0000, 1.0000, 4.6713e-02, 0.0000, 1.0000, -5.8173e-02, 0.0000, 1.0000, 1.1084e-02, 0.0000, 1.0000, 1.9919e-02, 0.0000, 1.0000, 1.6467e-02, 4.4940e+01, 0.05103, collision
3.94, 0.00, 0.0000, 1.0000, -1.3986e-02, 0.0000, 1.0000, 4.4712e-04, 0.0000, 1.0000, 8.8771e-02, 0.0000, 1.0000, -5.0114e-02, 0.0000, 1.0000, 1.2287e-02, 1.9060e+01, 0.04101, collision
3.92, 0.00, 0.0000, 1.0000, -1.2397e-02, 0.0000, 1.0000, 4.6498e-03, 0.0000, 1.0000, 1.1863e-01, 0.0000, 1.0000, -9.2518e-02, 0.0000, 1.0000, 2.4412e-02, 3.5032e+01, 0.03988, collision
3.74, 0.00, 0.0000, 1.0000, -6.8014e-02, 0.0000, 1.0000, 5.5673e-02, 0.0000, 1.0000, 2.0430e-01, 0.0000, 1.0000, -1.2934e-01, 0.0000, 1.0000, 2.8069e-02, 6.5274e+01, 0.08254, collision
3.59, 0.00, 0.0000, 1.0000, 3.4895e-03, 0.0000, 1.0000, -6.1923e-03, 0.0000, 1.0000, -1.2794e-02, 0.0000, 1.0000, 2.4819e-01, 0.0000, 1.0000, -1.5208e-01, 7.6866e+01, 0.08733, collision
3.97, 0.00, 0.0000, 1.0000, -1.9864e-02, 0.0000, 1.0000, -4.3136e-03, 0.0000, 1.0000, -4.5275e-02, 0.0000, 1.0000, 7.2580e-01, 0.0000, 1.0000, -2.5008e-01, 5.9601e+01, 0.06720, collision
3.82, 0.00, 0.0000, 1.0000, -9.7364e-03, 0.0000, 1.0000, -1.1759e-01, 0.0000, 1.0000, 2.9718e-01, 0.0000, 1.0000, -2.9615e-02, 0.0000, 1.0000, 1.6411e-02, 4.0079e+01, 0.08479, collision
4.02, 0.00, 0.0000, 1.0000, 5.9544e-02, 0.0000, 1.0000, -5.7657e-02, 0.0000, 1.0000, -8.9379e-03, 0.0000, 1.0000, -4.9105e-03, 0.0000, 1.0000, 4.0995e-02, 6.4880e+01, 0.07204, collision
3.58, 0.00, 0.0000, 1.0000, -2.8909e-02, 0.0000, 1.0000, 5.0638e-01, 0.0000, 1.0000, -2.7333e-01, 0.0000, 1.0000, 2.8795e-02, 0.0000, 1.0000, 8.3484e-02, 8.6166e+01, 0.09934, collision
3.68, 0.00, 0.0000, 1.0000, -3.3648e-02, 0.0000, 1.0000, 4.1201e-03, 0.0000, 1.0000, 7.2712e-02, 0.0000, 1.0000, -1.3703e-02, 0.0000, 1.0000, 1.8304e-02, 6.1683e+01, 0.07089, collision
3.61, 0.00, 0.0000, 1.0000, 8.3067e-02, 0.0000, 1.0000, -6.2541e-02, 0.0000, 1.0000, -1.0272e-02, 0.0000, 1.0000, 3.2185e-02, 0.0000, 1.0000, 1.3344e-03, 9.2202e+01, 0.10431, collision
3.93, 0.00, 0.0000, 1.0000, -7.0685e-02, 0.0000, 1.0000, 1.1349e-01, 0.0000, 1.0000, -7.0795e-02, 0.0000, 1.0000, 1.0158e-01, 0.0000, 1.0000, 5.3273e-02, 8.2757e+01, 0.09079, collision
3.98, 0.00, 0.0000, 1.0000, 4.7557e-03, 0.0000, 1.0000, -2.1916e-02, 0.0000, 1.0000, -5.5735e-02, 0.0000, 1.0000, 1.3550e-01, 0.0000, 1.0000, 9.9147e-03, 9.5803e+01, 0.10328, collision
3.83, 0.00, 0.0000, 1.0000, -1.1774e-02, 0.0000, 1.0000, -5.6881e-02, 0.0000, 1.0000, 4.5898e-02, 0.0000, 1.0000, 2.9360e-01, 0.0000, 1.0000, -1.3612e-01, 1.1229e+02, 0.12560, collision
3.75, 0.00, 0.0000, 1.0000, -1.3882e-01, 0.0000, 1.0000, 2.3433e-01, 0.0000, 1.0000, 4.3780e-01, 0.0000, 1.0000, -2.3824e-01, 0.0000, 1.0000, -1.8480e-02, 1.1502e+02, 0.13751, collision
3.91, 0.00, 0.0000, 1.0000, -2.3622e-02, 0.0000, 1.0000, 7.7163e-03, 0.0000, 1.0000, 1.4750e-01, 0.0000, 1.0000, -1.2885e-01, 0.0000, 1.0000, 7.6641e-02, 1.0883e+02, 0.12163, collision
3.60, 0.00, 0.0000, 1.0000, 1.1817e-02, 0.0000, 1.0000, -3.2787e-02, 0.0000, 1.0000, 1.4796e-02, 0.0000, 1.0000, -1.1155e-02, 0.0000, 1.0000, 6.3094e-02, 1.2616e+02, 0.14063, collision
3.55, 0.00, 0.0000, 1.0000, 1.1344e-01, 0.0000, 1.0000, -1.4557e-01, 0.0000, 1.0000, 1.7376e-01, 0.0000, 1.0000, -8.0284e-02, 0.0000, 1.0000, 1.6075e-02, 1.3323e+02, 0.15064, collision
3.65, 0.00, 0.0000, 1.0000, -2.6997e-02, 0.0000, 1.0000, -8.7306e-02, 0.0000, 1.0000, 1.1037e-01, 0.0000, 1.0000, 6.1692e-02, 0.0000, 1.0000, 5.0759e-02, 1.3680e+02, 0.15699, collision
4.00, 0.00, 0.0000, 1.0000, -1.0652e-02, 0.0000, 1.0000, -4.7159e-03, 0.0000, 1.0000, -9.2293e-03, 0.0000, 1.0000, 1.2418e-01, 0.0000, 1.0000, -3.6484e-02, 1.3501e+02, 0.17774, collision
4.04, 0.00, 0.0000, 1.0000, -4.5756e-02, 0.0000, 1.0000, 5.3563e-02, 0.0000, 1.0000, 2.9731e-02, 0.0000, 1.0000, -1.4833e-04, 0.0000, 1.0000, 7.2341e-03, 1.8368e+02, 0.20540, collision
3.56, 0.00, 0.0000, 1.0000, 1.0999e-02, 0.0000, 1.0000, 1.0158e-02, 0.0000, 1.0000, -2.1205e-01, 0.0000, 1.0000, 2.6851e-01, 0.0000, 1.0000, 1.8027e-01, 2.2395e+02, 0.25827, collision
4.03, 0.00, 0.0000, 1.0000, -2.5826e-02, 0.0000, 1.0000, 3.5647e-01, 0.0000, 1.0000, -2.1541e-01, 0.0000, 1.0000, 1.3042e-02, 0.0000, 1.0000, 1.1783e-02, 8.3773e+02, 0.92215, collision
