#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
11.90, 0.0013, 0.0019, 0.0027, 0.0095, 0.0416, 1.0001e+07, 20018.16629
11.50, 0.0087, 0.0076, 0.0078, 0.0086, 0.0327, 1.0001e+07, 20034.19902
11.70, 0.0038, 0.0035, 0.0035, 0.0090, 0.0365, 1.0001e+07, 20050.72912
11.40, 0.0063, 0.0067, 0.0065, 0.0082, 0.0303, 1.0001e+07, 20050.98571
11.60, 0.0117, 0.0099, 0.0095, 0.0088, 0.0343, 1.0001e+07, 20057.67047
11.20, 0.0188, 0.0159, 0.0141, 0.0099, 0.0274, 1.0001e+07, 20058.24035
11.10, 0.0067, 0.0060, 0.0065, 0.0075, 0.0263, 1.0001e+07, 20064.18876
11.30, 0.0115, 0.0122, 0.0114, 0.0104, 0.0292, 1.0001e+07, 20067.09195
3.77, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.6223e+01, 0.04055
3.95, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9081e+01, 0.04724
3.50, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.0278e+01, 0.04918
3.78, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2662e+01, 0.02744
3.96, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9183e+01, 0.04121
3.51, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.0249e+01, 0.04360
3.79, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2592e+01, 0.02687
3.86, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.3565e+01, 0.09925
3.80, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2567e+01, 0.02659
3.52, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5658e+01, 0.05417
3.81, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2586e+01, 0.02703
3.59, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.6896e+01, 0.17422
3.68, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.3379e+01, 0.18708
3.53, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1392e+01, 0.04542
3.87, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.4220e+01, 0.10298
