#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
5.63, 0.0753, 0.0717, 0.0883, 0.0726, 0.0764, 3.6192e+03, 7.78688
5.66, 0.1135, 0.1307, 0.1526, 0.1090, 0.1040, 7.2865e+04, 155.22225
5.17, 0.0631, 0.0744, 0.0608, 0.1583, 0.0770, 2.4684e+04, 51.91578
5.64, 0.1510, 0.1626, 0.3059, 0.3041, 0.2438, 1.4557e+04, 32.00089
5.08, 0.0458, 0.0687, 0.0960, 0.0870, 0.0257, 3.9206e+04, 82.37256
5.67, 0.1246, 0.1172, 0.0969, 0.1094, 0.1287, 2.3422e+04, 50.05884
5.93, 0.0895, 0.1025, 0.1217, 0.1322, 0.0772, 6.5735e+04, 137.54078
5.65, 0.1369, 0.1117, 0.1293, 0.1284, 0.1441, 1.2679e+04, 27.52229
5.84, 0.1595, 0.1480, 0.1293, 0.0962, 0.0810, 9.6794e+04, 203.56898
5.18, 0.0559, 0.0410, 0.0403, 0.0431, 0.0214, 4.0733e+04, 80.36645
5.09, 0.0807, 0.0544, 0.0820, 0.1001, 0.1083, 3.2089e+04, 62.60004
5.75, 0.1999, 0.1462, 0.1371, 0.1665, 0.1338, 1.3216e+05, 270.60827
5.10, 0.0751, 0.0493, 0.0440, 0.0728, 0.0974, 1.9160e+04, 37.77834
5.19, 0.0551, 0.0648, 0.0608, 0.0433, 0.0233, 2.1075e+04, 39.83292
5.20, 0.0465, 0.0675, 0.0347, 0.0300, 0.0209, 1.6153e+04, 30.53413
5.68, 0.1662, 0.1430, 0.1512, 0.1670, 0.1981, 6.7258e+04, 132.47364
5.11, 0.0665, 0.1637, 0.1182, 0.1322, 0.1238, 2.8104e+04, 54.76753
5.85, 0.1619, 0.0901, 0.1049, 0.1147, 0.1014, 1.1107e+05, 193.22112
5.69, 0.1708, 0.1577, 0.1378, 0.1266, 0.1150, 4.3532e+04, 82.63721
5.76, 0.1163, 0.1707, 0.1021, 0.1090, 0.1095, 1.5387e+05, 257.33058
5.86, 0.1186, 0.1209, 0.1253, 0.0920, 0.0857, 8.9333e+04, 122.40361
5.70, 0.1553, 0.1374, 0.1675, 0.1350, 0.1256, 1.4866e+05, 204.39271
5.94, 0.1259, 0.1053, 0.1240, 0.0947, 0.1020, 2.6948e+05, 443.81084
5.87, 0.1093, 0.1031, 0.0808, 0.0779, 0.0808, 1.1348e+05, 145.86281
5.77, 0.1512, 0.2065, 0.1302, 0.1585, 0.1314, 1.0513e+05, 179.46365
6.02, 0.2945, 0.1808, 0.2935, 0.1677, 0.1588, 3.9403e+05, 668.41853
5.71, 0.3507, 0.1639, 0.2644, 0.2035, 0.2403, 1.3424e+05, 245.12276
5.88, 0.1210, 0.0896, 141339833.7239, 147317149.0120, 0.1075, 1.3000e+05, 201.27198
5.95, 0.1234, 0.1439, 0.0934, 0.1730, 0.0970, 1.6026e+05, 251.53222
5.78, 0.1959, 0.1507, 0.1926, 0.1712, 0.2126, 1.4970e+05, 200.95457
5.72, 0.1793, 0.2461, 0.1438, 0.1030, 0.0996, 6.5046e+04, 135.17929
5.79, 0.1180, 0.1249, 0.1224, 0.1250, 0.1125, 9.6631e+04, 125.41876
5.89, 0.1340, 0.1094, 0.1080, 0.0983, 0.0798, 1.2784e+05, 164.27619
5.80, 0.1196, 0.0997, 0.1041, 0.1026, 0.0845, 4.3417e+04, 56.07629
5.73, 0.1612, 0.1603, 0.1931, 0.1295, 0.1082, 8.0157e+04, 168.70740
5.90, 0.2051, 0.2328, 0.1302, 0.1139, 0.1219, 1.1395e+05, 146.96633
5.96, 0.1108, 0.1489, 0.0739, 0.1094, 0.0640, 1.4927e+05, 295.10572
5.81, 0.0951, 0.2804, 0.1307, 0.1095, 0.0879, 8.2131e+04, 107.05115
5.74, 0.1791, 0.2254, 0.1850, 0.1899, 0.1654, 1.0816e+05, 179.06556
5.82, 0.1588, 0.2146, 0.3455, 0.2610, 0.1583, 1.1540e+05, 188.46673
5.91, 0.2052, 0.2501, 0.1202, 0.1144, 0.0962, 2.1379e+05, 273.09132
6.03, 0.1517, 0.1527, 0.1319, 0.1610, 0.1433, 5.8937e+05, 774.78095
5.83, 0.1441, 0.1722, 0.1008, 0.1151, 0.1278, 1.5182e+05, 193.93747
5.92, 0.1161, 0.1628, 0.0770, 0.0678, 0.0760, 1.1829e+05, 150.49237
5.97, 0.1053, 0.1393, 0.1659, 0.1164, 0.0990, 4.4288e+05, 602.08514
6.04, 0.1745, 0.1941, 0.1247, 0.1918, 0.1596, 4.9014e+05, 619.35237
5.98, 15652271.1996, 31963089.6857, 0.2294, 0.1995, 0.1161, 3.2700e+05, 410.03759
6.05, 0.1329, 0.1933, 0.1176, 0.1127, 0.0575, 4.8506e+05, 612.10550
5.99, 0.1190, 0.1095, 0.1451, 0.1041, 0.1070, 4.8679e+05, 611.01508
6.00, 0.1518, 0.1300, 0.1783, 0.1797, 0.0834, 3.1338e+05, 394.72676
6.01, 0.1006, 0.1485, 0.0822, 0.0564, 0.0847, 3.0320e+05, 381.54533
6.06, 0.1627, 0.1210, 0.1597, 0.1556, 0.0982, 1.4186e+06, 1778.69626
6.07, 0.1827, 0.1340, 0.2399, 0.2172, 0.1122, 1.3240e+06, 1659.48955
6.08, 0.0980, 0.1166, 0.0829, 0.0752, 0.0917, 8.6684e+05, 1087.40217
6.09, 0.1022, 0.1034, 0.1419, 0.1312, 0.1194, 1.0253e+06, 1284.12806
