7.10, 0.3335, 102726.4256, 0.2951, 0.1436, 0.7704, 4.3300e+05, 910.45964
7.20, 0.1585, 0.2571, 0.3368, 0.2743, 0.2102, 1.8642e+05, 397.35868
7.50, 0.2080, 0.1725, 0.1505, 0.1642, 0.0909, 1.3199e+06, 2695.54295
7.30, 0.2835, 0.2094, 0.1962, 0.2007, 0.1971, 7.2068e+05, 1486.70788
6.10, 0.1423, 0.0990, 0.0758, 0.0775, 0.0668, 8.1330e+05, 1691.09196
7.90, 0.3430, 1413.1428, 0.8199, 0.1218, 0.1123, 1.6530e+06, 3370.09693
6.70, 0.1565, 0.1451, 0.1177, 0.1334, 0.0972, 1.8607e+06, 3791.88920
6.30, 0.1293, 0.1102, 0.1146, 0.1430, 0.0928, 1.9756e+06, 4020.85027
7.40, 0.2046, 0.1406, 0.2362, 0.1963, 0.1257, 1.2922e+06, 2648.86531
6.20, 0.1918, 0.2091, 0.1538, 0.1566, 0.1421, 1.4207e+06, 2945.11057
8.00, 0.2484, 0.2207, 0.1988, 0.1654, 0.1984, 1.2873e+06, 2655.11350
6.40, 0.1719, 0.1614, 0.0819, 0.0567, 0.0487, 1.0418e+06, 2152.38504
7.60, 0.2270, 0.1574, 0.1350, 0.1306, 0.0952, 1.6949e+06, 3444.09817
7.70, 0.1753, 0.1605, 0.2262, 0.1368, 0.0843, 3.9545e+05, 825.46125
9.50, 0.4295, 0.4315, 0.3896, 0.4380, 0.1527, 5.3304e+05, 1235.39396
8.30, 0.2105, 0.1704, 0.1719, 0.1058, 0.0647, 4.0710e+06, 7995.79822
9.60, 0.4897, 0.6040, 0.4367, 0.2341, 0.2395, 5.0514e+05, 1161.41648
7.80, 0.1957, 0.2230, 0.1756, 0.1732, 0.1453, 9.2600e+05, 1911.13416
9.70, 0.3843, 0.3888, 0.3836, 0.3146, 0.1811, 7.2191e+05, 1613.09500
6.50, 0.2440, 0.2389, 0.2123, 0.2567, 0.1076, 1.9191e+06, 3906.76621
