# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.59, 0.00, 0.0000, 1.0000, -3.7323e-04, 0.0000, 1.0000, 1.5199e-03, 0.0000, 1.0000, -4.1602e-02, 0.0000, 1.0000, -9.7678e-02, 0.0000, 1.0000, 2.9397e-01, 5.1681e+01, 0.02908, collision
3.93, 0.00, 0.0000, 1.0000, -9.9536e-03, 0.0000, 1.0000, -1.5639e-01, 0.0000, 1.0000, 2.3880e-01, 0.0000, 1.0000, 1.9941e-01, 0.0000, 1.0000, 1.3799e-02, 3.1501e+01, 0.01814, collision
3.52, 0.00, 0.0000, 1.0000, -4.4301e-02, 0.0000, 1.0000, 6.6037e-02, 0.0000, 1.0000, -9.9315e-03, 0.0000, 1.0000, 2.8445e-01, 0.0000, 1.0000, -1.8480e-01, 5.6766e+01, 0.03248, collision
3.68, 0.00, 0.0000, 1.0000, 6.8889e-02, 0.0000, 1.0000, -5.9779e-02, 0.0000, 1.0000, 2.1991e-02, 0.0000, 1.0000, -2.3502e-02, 0.0000, 1.0000, 2.0419e-02, 5.5033e+01, 0.03069, collision
3.88, 0.00, 0.0000, 1.0000, -1.7365e-02, 0.0000, 1.0000, 1.4759e-04, 0.0000, 1.0000, -9.3059e-02, 0.0000, 1.0000, 2.0060e-01, 0.0000, 1.0000, 2.5835e-02, 1.9076e+01, 0.01189, collision
3.73, 0.00, 0.0000, 1.0000, 1.8304e-01, 0.0000, 1.0000, -2.0033e-01, 0.0000, 1.0000, 2.6521e-01, 0.0000, 1.0000, -1.2242e-01, 0.0000, 1.0000, 1.2561e-02, 5.0384e+01, 0.03038, collision
3.85, 0.00, 0.0000, 1.0000, 6.4154e-02, 0.0000, 1.0000, -5.6354e-02, 0.0000, 1.0000, -4.1254e-02, 0.0000, 1.0000, -2.7115e-02, 0.0000, 1.0000, 1.2177e-01, 3.6572e+01, 0.02066, collision
3.91, 0.00, 0.0000, 1.0000, -1.7865e-02, 0.0000, 1.0000, 7.0286e-03, 0.0000, 1.0000, 3.3664e-02, 0.0000, 1.0000, 6.1677e-02, 0.0000, 1.0000, 2.6667e-02, 5.3632e+01, 0.02910, collision
3.74, 0.00, 0.0000, 1.0000, 2.9883e-02, 0.0000, 1.0000, -7.6054e-02, 0.0000, 1.0000, -7.0452e-02, 0.0000, 1.0000, 2.1819e-01, 0.0000, 1.0000, 1.6165e-02, 6.4107e+01, 0.03431, collision
3.97, 0.00, 0.0000, 1.0000, -1.7706e-02, 0.0000, 1.0000, -1.3067e-01, 0.0000, 1.0000, 1.6326e-01, 0.0000, 1.0000, 5.3718e-04, 0.0000, 1.0000, 1.7400e-01, 3.7861e+01, 0.02020, collision
3.90, 0.00, 0.0000, 1.0000, 1.0186e-01, 0.0000, 1.0000, -7.5906e-02, 0.0000, 1.0000, 2.3702e-01, 0.0000, 1.0000, -2.1340e-01, 0.0000, 1.0000, 9.5694e-02, 6.0834e+01, 0.03307, collision
3.69, 0.00, 0.0000, 1.0000, -4.9615e-02, 0.0000, 1.0000, 4.5084e-02, 0.0000, 1.0000, 4.4666e-02, 0.0000, 1.0000, -3.1260e-03, 0.0000, 1.0000, 1.4850e-02, 7.9536e+01, 0.04576, collision
3.67, 0.00, 0.0000, 1.0000, 2.7100e-01, 0.0000, 1.0000, -2.0069e-01, 0.0000, 1.0000, 1.7430e-02, 0.0000, 1.0000, -6.5916e-03, 0.0000, 1.0000, 1.8516e-02, 7.1256e+01, 0.03915, collision
3.58, 0.00, 0.0000, 1.0000, -1.7597e-02, 0.0000, 1.0000, 6.9506e-02, 0.0000, 1.0000, -1.4655e-02, 0.0000, 1.0000, -2.2163e-02, 0.0000, 1.0000, 8.1927e-02, 5.7534e+01, 0.03244, collision
3.98, 0.00, 0.0000, 1.0000, -1.1584e-02, 0.0000, 1.0000, 4.4084e-04, 0.0000, 1.0000, 2.8063e-01, 0.0000, 1.0000, -1.7627e-01, 0.0000, 1.0000, 1.1150e-02, 2.4747e+01, 0.01431, collision
3.61, 0.00, 0.0000, 1.0000, -1.6266e-02, 0.0000, 1.0000, 2.1531e-02, 0.0000, 1.0000, 3.7876e-03, 0.0000, 1.0000, -1.6458e-02, 0.0000, 1.0000, 4.3723e-02, 7.3800e+01, 0.04038, collision
