#delta_H, max e_m1, max e_m2, sim finish time (n Pmoon), wall_time
4.90, 0.4111, 0.2364, 2.2534e+06, 2191.59890
4.73, 0.6623, 0.6941, 2.1170e+06, 2311.23286
4.47, 0.6836, 0.5859, 8.2800e+05, 971.44446
5.00, 151.9232, 140.2650, 3.4240e+06, 3124.57859
4.63, 0.7052, 0.5409, 2.6540e+06, 2530.64454
4.91, 0.6383, 0.7618, 1.5050e+06, 1594.36300
4.74, 0.6318, 0.7836, 1.3539e+06, 1486.45832
4.81, 0.5861, 54836.3962, 2.8700e+06, 2661.33841
4.19, 0.3147, 0.2719, 2.2143e+06, 2337.14612
4.48, 0.4963, 0.6497, 1.6628e+06, 1768.15059
4.54, 0.2953, 0.2778, 4.1528e+06, 3917.49527
4.49, 0.6726, 0.6212, 9.5800e+05, 1154.03179
4.64, 0.4570, 22180.0923, 2.7450e+06, 2585.56055
4.75, 0.3344, 0.3130, 2.0069e+06, 2182.04546
4.55, 0.3586, 33432.2024, 9.6900e+05, 1129.22902
4.82, 0.2175, 0.4331, 3.1621e+06, 2955.95109
5.20, 0.6648, 0.7603, 2.2070e+06, 2161.87287
5.01, 0.2852, 0.2349, 5.4310e+06, 4544.93019
4.65, 4812.9827, 0.5760, 1.5930e+06, 1803.28386
4.92, 0.2726, 0.4156, 5.2855e+06, 4548.81737
5.10, 0.4802, 0.5851, 4.9493e+06, 4169.78275
4.56, 0.6064, 0.6874, 2.1576e+06, 2115.72218
4.83, 0.3462, 0.3057, 1.7706e+06, 1943.68621
5.02, 0.6418, 0.6479, 1.5610e+06, 1638.84787
4.76, 0.2629, 0.4552, 3.5798e+06, 3266.76713
4.57, 0.3780, 352015.8353, 1.3380e+06, 1579.24038
4.66, 54.6085, 0.5032, 2.8850e+06, 2727.90598
5.03, 0.6722, 0.5264, 1.8130e+06, 1869.88915
5.21, 0.5977, 8823.9722, 4.1970e+06, 3990.90794
4.58, 0.3714, 0.3345, 1.7723e+06, 2000.10305
4.77, 0.2351, 0.2719, 2.6337e+06, 2540.99026
4.67, 0.6314, 0.7932, 1.3570e+06, 1560.52295
5.11, 0.6182, 0.6503, 5.1207e+06, 4409.63197
4.93, 0.6451, 0.6136, 6.0170e+06, 5097.02972
4.78, 0.5393, 1467.0247, 1.2100e+06, 1325.71692
5.04, 0.7163, 0.6161, 2.0259e+06, 2034.55419
4.59, 0.6942, 0.5104, 1.2709e+06, 1428.81871
4.84, 0.6563, 24829.3148, 4.2300e+06, 4438.55090
4.68, 0.3698, 0.3465, 1.6220e+06, 1811.04871
4.79, 0.6040, 0.7125, 1.2771e+06, 1343.40719
5.22, 0.5091, 295022.1227, 3.0140e+06, 2903.66514
4.69, 0.6459, 0.5764, 1.3920e+06, 1532.78675
5.12, 0.5473, 15366.5256, 3.8940e+06, 3511.24200
5.05, 0.3755, 0.5938, 3.0037e+06, 2957.24732
4.85, 0.6749, 0.6546, 3.1390e+06, 2835.54397
5.40, 0.6732, 0.6482, 2.7410e+06, 2507.06786
4.94, 0.2510, 0.2361, 4.6719e+06, 3952.08568
4.86, 0.4620, 0.3606, 1.4579e+06, 1519.56722
5.06, 0.6974, 0.5593, 2.6040e+06, 2542.02761
5.30, 0.4060, 0.4667, 7.0577e+06, 5538.02092
4.95, 0.6597, 0.5091, 1.8620e+06, 1925.83463
5.23, 0.6512, 0.6423, 5.8830e+06, 4785.23573
5.13, 0.3764, 0.4946, 3.8951e+06, 3709.52572
4.87, 0.5574, 657.8132, 2.0940e+06, 2152.54232
5.50, 0.4210, 0.3300, 6.0602e+06, 5086.22861
4.96, 53843419.1905, 37340790.3566, 1.9460e+06, 1981.73675
5.07, 0.6385, 17576.6376, 2.6260e+06, 2581.03668
5.24, 0.6886, 0.6514, 3.1790e+06, 2944.95322
5.14, 1.0797, 0.5094, 2.4750e+06, 2432.37163
5.41, 0.5585, 0.8502, 6.6870e+06, 5345.38742
4.97, 0.7381, 0.7146, 2.0979e+06, 2137.22110
4.88, 0.6505, 0.5184, 4.1737e+06, 3630.96276
5.31, 0.5341, 14388.7553, 6.1290e+06, 4931.62950
5.08, 0.5943, 0.8762, 2.7260e+06, 2615.98478
5.15, 0.6617, 0.7220, 2.0940e+06, 2069.19125
5.51, 0.6588, 5004.1030, 4.5710e+06, 3963.78525
5.25, 0.5810, 5351.8833, 2.9150e+06, 2750.74124
5.42, 0.3257, 0.2779, 3.6531e+06, 3254.28062
4.89, 0.6640, 976.8130, 2.2190e+06, 2309.86416
4.98, 0.4127, 26491.1980, 3.0620e+06, 2948.79240
5.32, 0.6108, 0.7215, 2.7147e+06, 2531.69061
5.16, 0.4698, 0.4669, 2.8405e+06, 2671.84894
5.26, 0.5923, 5823.1400, 2.2710e+06, 2171.35760
4.99, 0.5251, 0.7211, 1.6714e+06, 1701.70989
5.09, 0.5900, 26.3917, 4.7170e+06, 4122.95682
5.52, 0.3850, 0.5692, 4.9795e+06, 4244.43866
5.43, 0.6427, 48393.0128, 4.0170e+06, 3560.51896
5.27, 31303.8354, 0.6699, 3.2270e+06, 3085.94094
5.60, 0.6556, 0.6716, 6.6660e+06, 5473.01265
5.33, 0.5966, 2382.4211, 7.8050e+06, 6039.24334
5.17, 0.4099, 0.2253, 6.9293e+06, 5508.93186
5.44, 0.6141, 49.3043, 3.9710e+06, 3504.44663
5.53, 0.6463, 217977.0912, 4.7350e+06, 4069.77810
5.80, 0.6456, 0.8547, 6.6230e+06, 5238.58397
5.28, 0.4880, 25139.6674, 3.4060e+06, 3176.85349
5.18, 0.6184, 0.4934, 1.9000e+06, 1867.90761
5.70, 0.2006, 0.1871, 1.0001e+07, 7299.88857
5.34, 0.7154, 0.5137, 3.2580e+06, 2982.60650
5.29, 0.6494, 0.5737, 2.9120e+06, 2712.86634
5.81, 0.5701, 118705.4715, 4.3410e+06, 3853.98750
5.19, 0.6481, 0.8329, 3.2190e+06, 2958.13518
5.45, 0.6352, 23514.2405, 6.6370e+06, 5276.24645
5.35, 0.5635, 41194.0175, 3.0800e+06, 2749.36161
5.61, 0.2094, 0.2183, 1.0001e+07, 7206.46671
5.71, 0.6694, 13376.5647, 5.7270e+06, 4570.86180
5.54, 0.1584, 0.1644, 1.0001e+07, 7246.04972
5.36, 0.6552, 0.6003, 3.1440e+06, 2825.40133
5.90, 0.6953, 154299.5874, 7.3640e+06, 5499.32988
5.82, 0.4614, 0.5218, 8.3713e+06, 6240.96921
5.62, 0.3301, 0.3273, 6.1448e+06, 4922.28614
5.37, 0.6296, 126772.0230, 3.6950e+06, 3223.18586
5.46, 0.2002, 0.1898, 8.4946e+06, 6208.58378
6.00, 0.2198, 0.2130, 1.0001e+07, 7025.47349
5.72, 0.2344, 0.2120, 1.0001e+07, 7144.48612
5.55, 0.2317, 0.2007, 1.0001e+07, 7221.52392
5.63, 0.7171, 0.5362, 5.3650e+06, 4344.90296
5.47, 0.6810, 300046.1563, 4.5350e+06, 3812.34168
5.38, 0.3816, 0.3287, 4.5868e+06, 3960.73344
5.91, 0.3145, 0.3043, 1.0001e+07, 7156.48947
5.83, 0.5257, 0.6797, 8.4810e+06, 6290.71947
5.48, 0.6367, 0.7491, 3.4650e+06, 2999.31548
5.56, 0.3885, 0.5382, 4.8066e+06, 3978.65651
5.73, 0.5745, 0.7057, 5.5655e+06, 4417.01120
6.01, 0.3010, 0.2457, 1.0001e+07, 7059.17795
5.39, 0.6748, 214.8437, 6.0870e+06, 4914.85531
5.57, 0.6344, 125052.0238, 4.0940e+06, 3426.75903
5.64, 0.2112, 0.2033, 1.0001e+07, 7174.02840
5.84, 0.4523, 163690.7068, 7.3520e+06, 5509.14885
5.92, 0.2674, 0.2626, 1.0001e+07, 7039.57514
8.58, 0.0003, 0.1347, 5.0000e+03, 6.54354
8.60, 0.0002, 0.0854, 2.0000e+03, 2.50872
8.59, 0.0003, 0.1733, 1.4000e+04, 16.35595
8.57, 0.0003, 0.2279, 7.6000e+04, 77.58426
8.56, 0.0008, 0.2315, 1.0001e+07, 5111.47230
8.52, 0.0008, 0.2162, 1.0001e+07, 5151.36195
8.55, 0.0007, 0.2236, 1.0001e+07, 5217.04518
8.53, 0.0008, 0.2175, 1.0001e+07, 5225.20197
8.54, 0.0008, 0.2219, 1.0001e+07, 5272.53382
6.20, 0.0642, 0.1184, 1.0001e+07, 6510.50343
6.50, 0.0549, 0.1007, 1.0001e+07, 6491.29773
6.80, 0.0639, 0.1065, 1.0001e+07, 6520.05547
7.10, 0.1000, 0.1335, 1.0001e+07, 6585.69539
5.80, 0.5394, 0.8575, 6.8860e+06, 4929.68180
7.40, 0.1574, 0.1306, 1.0001e+07, 6847.48629
6.00, 0.2053, 0.2111, 1.0001e+07, 6618.39755
7.70, 0.0167, 0.1304, 1.0001e+07, 6484.56534
6.60, 0.0355, 0.1024, 1.0001e+07, 6511.38765
6.30, 0.2669, 0.2486, 1.0001e+07, 6726.82307
6.90, 0.0662, 0.1073, 1.0001e+07, 6549.52119
7.20, 0.1279, 0.1380, 1.0001e+07, 6748.61645
8.00, 0.0203, 0.1442, 1.0001e+07, 6527.80194
7.50, 0.0772, 0.1225, 1.0001e+07, 6621.18961
6.10, 0.1105, 0.1177, 1.0001e+07, 6716.16869
7.80, 0.0896, 0.1315, 1.0001e+07, 6663.94600
