# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
3.70, 0.00, 0.0193, 0.0000, 1.0645e-03, 0.0718, 0.0000, -1.1924e-02, 1.0000e+07, 2752.98888, tmax
4.91, 0.00, 0.0260, 0.0000, 1.2347e-03, 0.0841, 0.0001, 9.2528e-02, 1.0000e+07, 2759.86930, tmax
7.63, 0.00, 0.0023, 0.0000, 2.9567e-05, 0.1340, 0.0003, 1.3505e-01, 1.0000e+07, 2760.48366, tmax
3.50, 0.00, 0.0501, 0.0000, -3.8908e-03, 0.0778, 0.0000, 5.7334e-02, 1.0000e+07, 2762.31051, tmax
7.09, 0.00, 0.0118, 0.0000, 7.9224e-05, 0.1172, 0.0001, 1.2479e-01, 1.0000e+07, 2762.62296, tmax
5.83, 0.00, 0.0311, 0.0000, -3.3798e-04, 0.0944, 0.0000, 6.0199e-02, 1.0000e+07, 2764.93176, tmax
8.48, 0.00, 0.0002, 0.0000, 1.3959e-06, 0.2160, 0.0001, 1.8527e-01, 1.0000e+07, 2765.13803, tmax
4.77, 0.00, 0.0255, 0.0000, 4.8163e-04, 0.0824, 0.0001, -1.1325e-02, 1.0000e+07, 2780.35028, tmax
6.86, 0.00, 0.0250, 0.0000, 1.8803e-05, 0.1118, 0.0000, 1.0557e-01, 1.0000e+07, 2783.35178, tmax
3.53, 0.00, 0.0412, 0.0001, 2.7920e-04, 0.0741, 0.0001, -8.9860e-03, 1.0000e+07, 2792.15600, tmax
7.80, 0.00, 0.0014, 0.0000, -2.8583e-05, 0.1416, 0.0001, 9.4814e-02, 1.0000e+07, 2798.67954, tmax
5.46, 0.00, 0.0282, 0.0000, 3.0719e-04, 0.0899, 0.0001, 9.0537e-02, 1.0000e+07, 2807.93386, tmax
3.83, 0.00, 0.0222, 0.0000, -5.9940e-04, 0.0735, 0.0001, 6.8206e-03, 1.0000e+07, 2809.71477, tmax
6.91, 0.00, 0.0212, 0.0000, 8.6212e-05, 0.1127, 0.0001, 1.1587e-01, 1.0000e+07, 2813.02444, tmax
8.01, 0.00, 0.0007, 0.0000, 1.4472e-05, 0.1533, 0.0002, 1.5128e-01, 1.0000e+07, 2816.91524, tmax
7.71, 0.00, 0.0018, 0.0000, -2.9979e-05, 0.1374, 0.0001, 2.2900e-02, 1.0000e+07, 2826.28536, tmax
5.29, 0.00, 0.0273, 0.0000, 1.8777e-04, 0.0881, 0.0000, -7.1623e-03, 1.0000e+07, 2827.26488, tmax
8.89, 0.00, 0.0002, 0.0002, -1.1198e-05, 0.7920, 0.7920, 2.8592e-01, 8.5381e+02, 0.24022, a>0.4R_H
4.00, 0.00, 0.0235, 0.0000, 7.4210e-04, 0.0753, 0.0001, -1.1808e-02, 1.0000e+07, 2832.06217, tmax
4.68, 0.00, 0.0253, 0.0000, -2.3270e-05, 0.0818, 0.0001, 1.2157e-03, 1.0000e+07, 2835.13158, tmax
7.39, 0.00, 0.0047, 0.0000, -2.8453e-05, 0.1255, 0.0001, 1.0055e-02, 1.0000e+07, 2835.06612, tmax
6.71, 0.00, 0.0388, 0.0000, 1.3187e-04, 0.1087, 0.0001, 1.1332e-01, 1.0000e+07, 2837.89647, tmax
9.00, 0.00, 0.0001, 0.0001, -1.1234e-05, 71861.0806, 1.0000, -1.0017e+00, 8.5381e+02, 0.23343, a<0
5.92, 0.00, 0.0322, 0.0000, 3.2540e-04, 0.0958, 0.0001, 1.0090e-01, 1.0000e+07, 2841.33819, tmax
