3.50, 0.2875, 0.2516, 8.8797e+04, 104.26440
3.60, 0.2883, 0.2989, 1.4375e+05, 161.93091
3.70, 0.5552, 0.6710, 1.7200e+05, 190.26212
3.80, 0.2923, 0.3118, 2.0884e+05, 222.14498
3.51, 0.5109, 0.4976, 1.2047e+05, 140.80321
3.90, 0.2916, 0.3042, 2.4294e+05, 250.26614
4.00, 0.2987, 0.3071, 2.7776e+05, 278.48326
3.61, 0.2902, 0.2544, 1.0555e+05, 120.99006
4.10, 0.3329, 0.3168, 3.1635e+05, 306.97464
4.20, 0.2847, 0.2683, 3.2943e+05, 313.43985
3.71, 0.2803, 0.2680, 1.4226e+05, 156.83674
3.52, 0.2735, 0.2699, 9.2859e+04, 108.84171
3.62, 0.2764, 0.2766, 1.1796e+05, 133.35178
3.81, 0.2914, 0.3100, 2.0577e+05, 218.51796
3.91, 0.2766, 0.2515, 1.9498e+05, 202.28687
4.11, 0.2871, 0.2587, 2.7138e+05, 264.00791
3.63, 0.2932, 0.3039, 1.5662e+05, 173.93726
3.82, 0.2983, 0.2757, 1.6114e+05, 171.52822
3.54, 0.2930, 0.3152, 1.2575e+05, 144.12840
3.92, 0.3121, 0.2669, 1.9939e+05, 206.07973
3.73, 0.3392, 0.2642, 1.4511e+05, 158.69762
4.21, 0.6032, 0.5565, 4.0000e+05, 376.47679
3.64, 0.2948, 0.3083, 1.4954e+05, 166.46673
4.02, 0.5977, 0.6380, 2.3956e+05, 240.77612
4.22, 0.3848, 0.4379, 7.5175e+04, 87.29465
3.55, 0.2932, 0.3065, 1.2849e+05, 147.65945
3.83, 0.3083, 0.2997, 2.0377e+05, 215.10166
4.12, 0.2947, 0.2590, 2.8097e+05, 273.04511
3.93, 0.3574, 0.2570, 2.1624e+05, 221.47486
4.23, 0.5085, 0.8404, 1.0100e+05, 119.91498
3.56, 0.2910, 0.2695, 1.0555e+05, 121.48917
3.65, 0.2970, 0.3075, 1.5473e+05, 171.58945
4.03, 0.2913, 0.2584, 2.4192e+05, 241.42157
3.84, 0.4475, 59162.6447, 1.7800e+05, 188.57656
3.75, 0.3904, 0.3105, 1.8809e+05, 202.79387
4.24, 0.3828, 0.3339, 1.2452e+05, 139.52002
3.57, 0.2960, 0.3130, 1.3560e+05, 153.40312
3.66, 0.8665, 0.5103, 1.5600e+05, 172.78519
4.13, 0.2984, 0.2666, 2.8545e+05, 276.26077
3.94, 0.3057, 0.3379, 2.5802e+05, 261.41300
3.58, 0.5888, 0.6231, 1.3400e+05, 152.20374
3.76, 0.2988, 0.3087, 1.9056e+05, 205.07368
3.85, 0.2986, 0.3151, 2.1645e+05, 226.40030
3.67, 0.3043, 0.2821, 1.5054e+05, 166.92882
4.04, 0.2872, 0.3060, 3.0780e+05, 302.60644
3.95, 0.2854, 0.2571, 2.1348e+05, 218.22521
3.59, 0.2911, 0.3134, 1.3731e+05, 154.90105
4.25, 0.2967, 0.2603, 3.5871e+05, 333.04854
4.14, 0.3968, 0.2743, 3.1855e+05, 305.42899
3.77, 0.3041, 124.4401, 1.9100e+05, 204.43478
3.68, 0.4944, 0.4038, 1.6804e+05, 183.14230
3.86, 0.2973, 0.3157, 2.2706e+05, 235.22933
4.30, 0.3698, 0.2925, 1.2583e+05, 140.99686
4.26, 0.5388, 114006.4950, 1.2100e+05, 138.66593
3.96, 0.2891, 0.2685, 2.1956e+05, 223.38632
3.69, 0.2974, 0.2516, 1.2625e+05, 141.05804
4.05, 0.4821, 0.4760, 2.9614e+05, 291.60980
3.78, 0.2893, 0.2626, 1.5513e+05, 167.33167
4.27, 0.5680, 0.5012, 1.0600e+05, 119.57068
4.31, 0.3570, 0.5136, 1.4226e+05, 159.66101
3.87, 0.3004, 0.2928, 2.2384e+05, 231.83867
4.28, 0.5463, 0.5148, 1.0847e+05, 121.32590
4.15, 0.3040, 0.3101, 3.5947e+05, 342.00522
3.79, 0.3290, 0.2912, 1.8091e+05, 193.91185
3.97, 0.2860, 0.2724, 2.2892e+05, 231.69009
4.32, 0.6502, 0.8689, 1.4560e+05, 161.09249
4.06, 0.2855, 0.2661, 2.6147e+05, 258.74785
3.88, 0.2918, 0.2685, 1.9497e+05, 203.76931
4.40, 0.5491, 0.6492, 4.8300e+05, 425.75287
4.16, 0.2933, 0.2470, 2.9589e+05, 283.90391
4.29, 411497.7923, 1009938.0249, 3.7700e+05, 345.27177
3.98, 0.2946, 0.3232, 2.8204e+05, 281.52461
3.89, 0.2943, 0.2492, 1.9508e+05, 203.39641
4.07, 0.3221, 0.2496, 2.6715e+05, 261.98426
4.33, 0.5309, 13668.6842, 4.0000e+05, 362.86728
4.41, 0.5005, 0.4476, 1.7189e+05, 182.81506
4.60, 0.5825, 10312.5632, 2.2100e+05, 224.69616
4.34, 0.3672, 0.3333, 1.3267e+05, 145.53332
4.70, 0.3609, 0.4933, 2.5105e+05, 251.53855
3.99, 0.3092, 131196.1841, 2.8700e+05, 288.35609
4.08, 0.4717, 0.2790, 2.7703e+05, 271.71427
4.17, 0.2913, 0.2981, 3.8680e+05, 363.38989
4.42, 0.5293, 81401.3961, 2.4600e+05, 249.79831
4.61, 0.6306, 0.4956, 2.0700e+05, 203.66819
4.35, 0.3863, 0.3893, 2.0953e+05, 223.16268
4.43, 0.3785, 0.3339, 1.7366e+05, 182.33526
4.09, 0.3068, 0.2583, 2.6655e+05, 261.16335
4.80, 0.4980, 0.6711, 3.1499e+05, 305.63799
4.36, 0.5788, 0.5917, 1.4200e+05, 156.84123
4.18, 0.2987, 0.2874, 3.3568e+05, 318.54554
4.44, 0.3708, 0.3496, 2.3260e+05, 235.45144
4.71, 0.6833, 0.5401, 7.0100e+05, 566.36467
4.62, 0.5570, 0.5545, 5.5800e+05, 463.82803
