# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.41, 0.00, 0.2850, 0.0003, 9.9536e+00, 0.2759, 0.0005, -3.8215e-01, 1.5916e+06, 511.51886, collision
5.10, 0.00, 0.6167, 0.0002, 1.4210e-01, 0.8302, 0.0001, 4.8714e+00, 1.0277e+06, 367.27530, a>0.4R_H
3.76, 0.00, 0.5804, 0.0004, -1.2471e-02, 0.7032, 0.0006, 1.9885e+00, 1.9289e+05, 103.88454, d<R_roche
5.90, 0.00, 0.5634, 0.0005, 1.1130e+00, 0.7343, 0.0008, -1.3211e+01, 1.6314e+06, 536.41148, collision
5.78, 0.00, 0.6609, 0.0006, 2.0546e-01, 0.7988, 0.0001, 4.5131e+00, 1.8495e+06, 593.37779, a>0.4R_H
6.10, 0.00, 0.5795, 0.0013, 3.6549e-01, 0.7936, 0.0004, 3.6183e+00, 1.9338e+06, 600.85409, a>0.4R_H
4.86, 0.00, 0.6384, 0.0002, -7.7880e-01, 0.5967, 0.0006, 2.7305e+00, 3.4832e+05, 166.35674, collision
5.13, 0.00, 0.3295, 0.0002, 1.6346e+00, 0.3119, 0.0006, 8.7166e-01, 1.7891e+06, 608.24404, collision
5.57, 0.00, 0.6763, 0.0000, -2.8614e-01, 0.6696, 0.0004, 7.4869e-01, 9.2458e+05, 347.92037, d<R_roche
5.19, 0.00, 0.5888, 0.0002, 1.3756e-01, 60060.5914, 0.0006, -1.0121e+00, 7.7383e+05, 312.76647, a<0
3.96, 0.00, 0.6336, 0.0006, -4.4503e-01, 0.3982, 0.0009, 6.7597e-01, 2.5160e+05, 128.06709, d<R_roche
4.43, 0.00, 0.5783, 0.0003, -1.0146e-01, 0.7279, 0.0009, 9.5992e-01, 1.8234e+05, 94.03660, d<R_roche
4.56, 0.00, 0.5581, 0.0001, -1.9977e-01, 57371.4982, 0.0015, -1.0153e+00, 2.1328e+05, 111.87402, a<0
8.59, 0.00, 0.0003, 0.0001, 2.8707e-03, 0.2388, 0.0726, 2.2100e-01, 1.0929e+03, 0.64349, a>0.4R_H
4.47, 0.00, 0.3916, 0.0005, 1.2210e-01, 0.7370, 0.0010, -4.9195e+00, 2.1362e+05, 108.99791, collision
5.40, 0.00, 0.5269, 0.0001, 1.7561e-01, 1.1400, 0.0004, -1.6156e+01, 1.0369e+06, 376.00851, a<0
4.85, 0.00, 0.6046, 0.0004, 2.3367e-01, 0.5027, 0.0010, -1.7309e+00, 3.4559e+05, 164.30067, collision
6.39, 0.00, 0.6099, 0.0018, 4.0337e-01, 39743.7448, 0.0005, -1.0115e+00, 3.0395e+06, 859.53426, a<0
6.00, 0.00, 0.6599, 0.0011, 2.2905e-01, 4516.6680, 0.0002, -1.0537e+00, 3.3543e+06, 944.08761, a<0
5.37, 0.00, 0.5800, 0.0001, 2.4741e-01, 9510.6115, 0.0005, -1.0403e+00, 1.9146e+06, 603.64607, a<0
6.40, 0.00, 0.4961, 0.0020, 5.5157e-01, 0.7938, 0.0003, 2.9187e+00, 3.8695e+06, 1031.70537, a>0.4R_H
6.09, 0.00, 0.6281, 0.0011, 5.6364e-02, 0.7104, 0.0003, -3.5422e+00, 1.8004e+06, 559.72021, d<R_roche
6.48, 0.00, 0.5810, 0.0019, 5.1651e-01, 0.8111, 0.0005, 6.2478e+00, 4.1256e+06, 1075.49795, a>0.4R_H
4.66, 0.00, 0.6210, 0.0003, -4.8707e-01, 0.4707, 0.0003, 7.8414e-01, 2.6431e+05, 132.50672, d<R_roche
4.42, 0.00, 0.3089, 0.0002, -1.5222e+02, 0.2630, 0.0004, -4.9900e-01, 4.7569e+05, 208.91589, collision
6.47, 0.00, 0.4213, 0.0019, 5.5742e-01, 30062.2200, 0.0002, -1.0123e+00, 4.5550e+06, 1179.26384, a<0
4.05, 0.00, 0.5582, 0.0005, -1.0832e-01, 0.7173, 0.0005, 2.4600e+00, 2.5444e+05, 127.03576, d<R_roche
6.45, 0.00, 0.4521, 0.0021, 5.9187e-01, 0.8304, 0.0004, 3.0441e+00, 4.7437e+06, 1229.70258, a>0.4R_H
6.29, 0.00, 0.6382, 0.0016, 1.6290e+00, 0.6153, 0.0003, 1.5547e+00, 2.6744e+06, 763.09827, collision
5.36, 0.00, 0.4592, 0.0003, 2.8585e-01, 5.8490, 0.0005, -3.9498e+00, 2.0996e+06, 663.65862, a<0
6.21, 0.00, 4163.3339, 0.0015, -1.2297e+00, 0.3601, 0.0005, -6.8416e-01, 2.4145e+06, 710.44796, a<0
4.97, 0.00, 0.4589, 0.0003, 4.9099e-02, 18250.7580, 0.0007, -1.0281e+00, 4.4129e+05, 198.41603, a<0
6.68, 0.00, 0.5237, 0.0002, 6.5377e-01, 0.7201, 0.0007, 2.3494e+00, 5.9875e+06, 1428.12458, a>0.4R_H
6.11, 0.00, 0.5898, 0.0001, 3.3324e-01, 11768.4612, 0.0004, -1.0292e+00, 1.8359e+06, 569.13741, a<0
5.81, 0.00, 1732.0722, 0.0000, -1.3831e+00, 0.5980, 0.0003, -6.6197e-01, 2.7974e+06, 834.45255, a<0
5.47, 0.00, 0.4068, 0.0004, 1.3669e+00, 0.5755, 0.0001, 7.6825e-01, 1.0078e+06, 377.24019, collision
6.12, 0.00, 0.2835, 0.0012, 7.1169e-01, 0.2357, 0.0002, -2.7999e+00, 5.0702e+06, 1281.35222, collision
5.85, 0.00, 0.3697, 0.0002, 5.9988e+00, 0.2716, 0.0004, -3.3220e+00, 5.8742e+06, 1505.52713, collision
6.51, 0.00, 0.6051, 0.0014, 6.4459e-01, 0.8303, 0.0001, 2.8328e+00, 6.1708e+06, 1522.96601, a>0.4R_H
5.11, 0.00, 0.5198, 0.0001, -2.8440e-01, 0.3431, 0.0002, -6.9698e+00, 5.7902e+05, 243.21155, d<R_roche
6.66, 0.00, 0.4028, 0.0017, 1.5238e+01, 0.4622, 0.0004, -4.1075e-01, 6.0776e+06, 1467.91280, collision
5.93, 0.00, 0.5107, 0.0002, -9.8173e+00, 0.6005, 0.0002, -5.4087e-01, 4.1348e+06, 1087.56531, collision
7.04, 0.00, 0.5018, 0.0014, -6.6812e+01, 0.6446, 0.0003, -3.7256e-01, 6.8412e+06, 1623.09546, collision
8.90, 0.00, 0.0003, 0.0003, 2.2378e-03, 36646.5919, 1.0000, -1.0030e+00, 8.5381e+02, 0.50414, a<0
8.77, 0.00, 0.0002, 0.0002, 2.2395e-03, 0.3270, 0.3270, 1.5435e-01, 8.5381e+02, 0.50392, a>0.4R_H
5.23, 0.00, 0.8865, 0.0001, -1.2089e+01, 0.8361, 0.0005, -5.0283e-01, 6.4674e+05, 261.29803, collision
5.22, 0.00, 0.4991, 0.0004, 7.7865e-02, 5577.9350, 0.0005, -1.0616e+00, 4.9228e+05, 210.09450, a<0
5.03, 0.00, 0.5623, 0.0001, 1.9993e-02, 22178.8336, 0.0004, -1.0252e+00, 4.1468e+05, 183.12086, a<0
6.50, 0.00, 0.5159, 0.0009, 5.1271e-01, 504.6027, 0.0003, -1.1486e+00, 3.9424e+06, 1032.66064, a<0
6.44, 0.00, 0.5380, 0.0017, 6.4169e-01, 0.7038, 0.0002, 2.4896e+00, 5.6635e+06, 1415.68676, a>0.4R_H
4.92, 0.00, 0.5907, 0.0002, -1.4713e-01, 0.8015, 0.0007, 3.3783e+00, 5.0956e+05, 231.49724, d<R_roche
3.81, 0.00, 0.5751, 0.0003, -1.9304e-02, 0.5393, 0.0008, -2.8320e+00, 1.6279e+05, 87.37531, collision
8.98, 0.00, 0.0002, 0.0002, 2.2378e-03, 59876.0556, 1.0000, -1.0019e+00, 8.5381e+02, 0.50460, a<0
4.71, 0.00, 0.6344, 0.0002, -1.3431e-02, 0.6623, 0.0001, 1.9310e+00, 8.7564e+05, 347.30690, d<R_roche
6.01, 0.00, 0.5881, 0.0003, 3.4273e-01, 11850.2760, 0.0002, -1.0288e+00, 1.8380e+06, 578.49505, a<0
5.31, 0.00, 446.0782, 0.0002, -1.8753e+00, 0.6913, 0.0007, -6.2197e-01, 1.9585e+06, 627.94620, a<0
5.70, 0.00, 0.2874, 0.0003, 3.2421e+00, 0.4049, 0.0005, 3.6401e-01, 2.9809e+06, 859.91402, collision
7.94, 0.00, 0.0362, 0.0000, 1.2547e+00, 0.1423, 0.0005, 1.4209e-02, 1.0000e+07, 2095.42714, tmax
8.01, 0.00, 0.0236, 0.0000, 1.2544e+00, 0.1466, 0.0004, 7.3452e-03, 1.0000e+07, 2101.74167, tmax
8.25, 0.00, 0.0046, 0.0001, 1.2459e+00, 0.1673, 0.0006, 1.5925e-02, 1.0000e+07, 2105.76122, tmax
7.86, 0.00, 0.0728, 0.0002, 1.2586e+00, 0.1395, 0.0002, 2.3447e-02, 1.0000e+07, 2110.30202, tmax
8.31, 0.00, 0.0029, 0.0000, 1.2425e+00, 0.1775, 0.0002, 1.1880e-01, 1.0000e+07, 2111.98197, tmax
7.67, 0.00, 0.0689, 0.0006, 1.2503e+00, 0.1289, 0.0002, 8.2989e-02, 1.0000e+07, 2114.20026, tmax
