# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.67, 0.00, 0.0000, 1.0000, -6.0365e-02, 0.0000, 1.0000, 7.8045e-02, 0.0000, 1.0000, -7.3992e-02, 0.0000, 1.0000, 1.2880e-01, 0.0000, 1.0000, 1.6721e-02, 3.9769e+01, 0.06001, collision
3.73, 0.00, 0.0000, 1.0000, -3.7271e-02, 0.0000, 1.0000, -3.4829e-02, 0.0000, 1.0000, 5.1442e-01, 0.0000, 1.0000, -2.0223e-01, 0.0000, 1.0000, 7.4015e-03, 4.0540e+01, 0.06024, collision
3.57, 0.00, 0.0000, 1.0000, -2.3377e-03, 0.0000, 1.0000, -1.6048e-01, 0.0000, 1.0000, 3.5128e-01, 0.0000, 1.0000, 2.4582e-02, 0.0000, 1.0000, 2.2111e-02, 4.5324e+01, 0.06559, collision
3.71, 0.00, 0.0000, 1.0000, -1.7604e-02, 0.0000, 1.0000, 1.9623e-02, 0.0000, 1.0000, -4.4240e-02, 0.0000, 1.0000, -7.3044e-02, 0.0000, 1.0000, 2.4565e-01, 4.1558e+01, 0.05886, collision
3.85, 0.00, 0.0000, 1.0000, 5.3307e-02, 0.0000, 1.0000, -6.2186e-02, 0.0000, 1.0000, 1.1062e-02, 0.0000, 1.0000, 1.9846e-02, 0.0000, 1.0000, 1.6480e-02, 4.4949e+01, 0.06108, collision
3.66, 0.00, 0.0000, 1.0000, -2.1082e-02, 0.0000, 1.0000, 2.4059e-01, 0.0000, 1.0000, -1.6461e-01, 0.0000, 1.0000, 1.7327e-02, 0.0000, 1.0000, 1.4491e-02, 3.5306e+01, 0.06881, collision
3.76, 0.00, 0.0000, 1.0000, -3.1961e-02, 0.0000, 1.0000, 1.0128e-01, 0.0000, 1.0000, -1.4128e-01, 0.0000, 1.0000, 3.0965e-01, 0.0000, 1.0000, -9.5661e-02, 4.8120e+01, 0.06668, collision
3.82, 0.00, 0.0000, 1.0000, -9.7393e-03, 0.0000, 1.0000, -1.0772e-01, 0.0000, 1.0000, 2.9724e-01, 0.0000, 1.0000, -5.1026e-02, 0.0000, 1.0000, 1.6434e-02, 4.0080e+01, 0.06973, collision
3.74, 0.00, 0.0000, 1.0000, -7.2465e-02, 0.0000, 1.0000, 8.8978e-02, 0.0000, 1.0000, 3.4139e-02, 0.0000, 1.0000, -2.9775e-03, 0.0000, 1.0000, 7.9929e-03, 2.6034e+01, 0.05953, collision
3.68, 0.00, 0.0000, 1.0000, 4.7645e-02, 0.0000, 1.0000, -6.3363e-02, 0.0000, 1.0000, 4.2094e-02, 0.0000, 1.0000, -1.2383e-02, 0.0000, 1.0000, 1.5217e-02, 6.4767e+01, 0.08618, collision
