# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
3.50, 0.00, 0.0000, 1.0000, -2.1254e-01, 0.0000, 1.0000, 8.5394e-01, 0.0000, 1.0000, 1.0525e-01, 2.1092e+01, 0.04701, collision
10.88, 0.00, 0.0000, 1.0000, 1.0988e-02, 0.0000, 1.0000, 1.8936e-01, 0.0000, 1.0000, -1.1762e+00, 1.4848e+02, 0.04934, collision
3.64, 0.00, 0.0000, 1.0000, -3.8700e-02, 0.0000, 1.0000, 7.2262e-02, 0.0000, 1.0000, 2.5013e-01, 7.8832e+01, 0.03030, collision
10.17, 0.00, 0.0002, 0.0002, 2.2276e-05, 0.0146, 0.0146, -2.5645e-03, 0.3011, 0.3011, -9.9145e-03, 8.5381e+02, 0.26993, a>0.4R_H
10.55, 0.00, 0.0001, 0.0001, -8.1563e-05, 0.0034, 0.0034, 7.8250e-03, 200476.9819, 1.0000, -1.0009e+00, 8.5381e+02, 0.29090, a<0
10.69, 0.00, 0.0004, 0.0004, -7.3650e-05, 0.0121, 0.0121, 1.2440e-02, 218391.3460, 1.0000, -1.0008e+00, 8.5381e+02, 0.26805, a<0
10.39, 0.00, 0.0004, 0.0004, 8.2921e-06, 0.0158, 0.0158, -6.5802e-03, 198968.9082, 1.0000, -1.0010e+00, 8.5381e+02, 0.26783, a<0
9.93, 0.00, 0.0004, 0.0003, -1.1924e-04, 0.0131, 0.0070, 8.6706e-03, 0.1815, 0.1664, 7.2569e-02, 8.8797e+02, 0.36056, a>0.4R_H
10.08, 0.00, 0.0004, 0.0004, 6.1792e-06, 0.0116, 0.0070, 1.4949e-02, 0.2131, 0.1195, 1.0140e-01, 8.8797e+02, 0.27859, a>0.4R_H
3.53, 0.00, 5528855.5154, 1.0000, -1.0078e+00, 0.0000, 1.0000, -1.0082e+00, 0.0000, 1.0000, 2.2673e-01, 8.5381e+02, 0.23891, a<0
9.99, 0.00, 0.0006, 0.0002, -1.0361e-04, 0.0155, 0.0112, 1.1162e-02, 0.2723, 0.2011, 6.0321e-02, 8.8797e+02, 0.27786, a>0.4R_H
9.90, 0.00, 0.0005, 0.0004, -2.9705e-05, 0.0137, 0.0017, 1.2286e-03, 0.1406, 0.0688, 6.9390e-02, 9.2212e+02, 0.28916, a>0.4R_H
10.11, 0.00, 0.0002, 0.0002, -1.1310e-05, 0.0080, 0.0080, -4.3235e-04, 0.1233, 0.1233, 8.5677e-02, 8.5381e+02, 0.31725, a>0.4R_H
