# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
3.61, 0.00, 0.0000, 1.0000, -6.8633e-02, 0.0000, 1.0000, 3.2533e+00, 0.0000, 1.0000, -4.2470e-01, 1.9656e+02, 0.16496, collision
4.68, 0.00, 0.2016, 0.0000, 4.1932e-01, 0.2199, 0.0001, -1.8366e-01, 0.1460, 0.0000, 1.2420e-01, 3.6118e+06, 2454.85687, collision
4.71, 0.00, 0.2461, 0.0001, 6.7864e-01, 0.2103, 0.0001, -3.0211e-01, 0.2114, 0.0000, 6.8377e-02, 2.3277e+06, 1602.24086, collision
3.94, 0.00, 0.2598, 0.0066, 1.0642e+00, 0.2351, 0.0034, 7.3210e-01, 0.1928, 0.0015, -6.3348e-01, 1.3881e+04, 10.97292, collision
7.96, 0.00, 0.5941, 0.0000, 9.5962e-02, 0.4680, 0.0001, 6.2101e-02, 0.3526, 0.0000, -2.7528e-02, 3.7845e+06, 2681.30803, d<R_roche
9.99, 0.00, 0.0004, 0.0004, -5.4939e-05, 0.0138, 0.0052, 4.3967e-03, 0.2670, 0.1945, 6.4962e-02, 8.8797e+02, 0.62911, a>0.4R_H
10.69, 0.00, 0.0003, 0.0003, 1.7703e-05, 0.0131, 0.0131, 1.7514e-02, 218431.4550, 1.0000, -1.0008e+00, 8.5381e+02, 0.60058, a<0
9.87, 0.00, 0.0005, 0.0002, 7.2665e-05, 0.0108, 0.0020, 1.5747e-02, 0.2621, 0.0634, 1.0442e-01, 1.1270e+03, 0.79466, a>0.4R_H
9.98, 0.00, 0.0005, 0.0002, 1.0932e-04, 0.0095, 0.0081, 1.6569e-02, 0.2668, 0.1308, 1.1527e-01, 8.8797e+02, 0.62539, a>0.4R_H
4.95, 0.00, 0.4731, 0.0004, -1.8558e-01, 0.4875, 0.0002, 3.4358e-01, 0.7004, 0.0000, 1.3098e+00, 4.1203e+06, 2761.96462, d<R_roche
4.57, 0.00, 0.3073, 0.0009, -2.3221e-01, 0.4265, 0.0002, 1.3591e+00, 0.5927, 0.0001, 3.6392e-01, 1.1053e+06, 783.19306, collision
5.25, 0.00, 0.3908, 0.0001, -7.7891e-02, 0.4119, 0.0001, 3.6104e-01, 0.3929, 0.0000, 7.9935e-01, 4.2307e+06, 2822.98410, collision
10.36, 0.00, 0.0011, 0.0011, -8.5265e-05, 0.0200, 0.0200, 2.6427e-02, 0.5130, 0.5130, -8.0117e-02, 8.5381e+02, 0.60461, a>0.4R_H
10.85, 0.00, 0.0036, 0.0036, -2.7726e-03, 0.0027, 0.0027, -8.0986e-03, 136247.0580, 1.0000, -1.0010e+00, 8.5381e+02, 0.62836, a<0
5.72, 0.00, 0.4686, 0.0000, -1.0929e-01, 0.5062, 0.0000, -1.1539e-01, 0.7173, 0.0001, -3.0407e+00, 3.6848e+06, 2487.66730, collision
10.33, 0.00, 0.0000, 1.0000, -5.9702e-05, 0.0000, 1.0000, -2.5860e-01, 0.0000, 1.0000, -1.6318e+00, 7.1477e+02, 0.50434, collision
4.97, 0.00, 0.2813, 0.0001, 3.3165e+00, 0.2437, 0.0000, -4.6149e-01, 0.1966, 0.0001, 1.6227e-01, 4.4739e+06, 2975.85413, collision
5.03, 0.00, 0.2935, 0.0000, 2.0292e-01, 0.2872, 0.0001, -2.9323e-02, 0.1968, 0.0000, 1.5040e-01, 4.5450e+06, 3019.12043, collision
5.40, 0.00, 0.5632, 0.0000, -2.0325e-01, 0.6220, 0.0000, 1.0689e+00, 0.5335, 0.0000, 1.2540e-01, 1.5329e+06, 1078.08906, d<R_roche
6.02, 0.00, 0.3327, 0.0000, 8.2019e-01, 0.4197, 0.0000, -3.5443e-01, 0.1480, 0.0000, 1.8340e-01, 5.3174e+06, 3471.31478, collision
10.45, 0.00, 0.0108, 0.0108, -9.4830e-03, 0.0192, 0.0192, -4.8129e-03, 148757.4625, 1.0000, -1.0011e+00, 8.5381e+02, 0.61153, a<0
6.30, 0.00, 0.3390, 0.0000, -2.6865e-02, 0.4892, 0.0001, 1.5525e+00, 0.3257, 0.0001, -3.4240e-01, 1.0305e+06, 751.55029, collision
5.39, 0.00, 0.4324, 0.0000, -1.3554e-01, 0.5835, 0.0001, 1.0979e+00, 0.5920, 0.0000, -1.1345e-01, 3.8519e+06, 2598.58500, d<R_roche
5.02, 0.00, 0.4123, 0.0000, 2.8071e+00, 0.2715, 0.0000, 7.4109e-02, 0.1773, 0.0000, -6.3112e-01, 5.7128e+06, 3766.32070, collision
6.04, 0.00, 0.3069, 0.0000, 6.7890e-01, 0.3674, 0.0000, -3.0050e-01, 0.2153, 0.0000, 1.6901e-01, 5.8387e+06, 3791.02805, collision
