# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
3.55, 0.00, 0.0000, 1.0000, -1.3354e-01, 0.0000, 1.0000, 1.1566e+00, 0.0000, 1.0000, -2.0505e-01, 8.6694e+01, 0.07978, collision
10.92, 0.00, 0.0000, 1.0000, 1.2430e-02, 0.0000, 1.0000, 5.2723e-02, 0.0000, 1.0000, -1.2421e-01, 1.0215e+02, 0.07378, collision
10.46, 0.00, 0.0000, 1.0000, -1.7777e-01, 0.0000, 1.0000, -7.2059e-04, 0.0000, 1.0000, -1.1917e+00, 1.8026e+02, 0.13117, collision
10.69, 0.00, 0.0003, 0.0003, 8.2096e-05, 0.0122, 0.0122, 1.3278e-02, 218399.7380, 1.0000, -1.0008e+00, 8.5381e+02, 0.62926, a<0
9.95, 0.00, 0.0004, 0.0002, 2.1545e-04, 0.0075, 0.0059, 1.5051e-02, 0.2447, 0.1184, 5.9421e-02, 9.2212e+02, 0.65187, a>0.4R_H
10.51, 0.00, 0.0003, 0.0003, 1.5752e-04, 0.0098, 0.0098, -1.9304e-03, 161553.6694, 1.0000, -1.0010e+00, 8.5381e+02, 0.60509, a<0
10.65, 0.00, 0.0005, 0.0005, 8.3288e-05, 0.0116, 0.0116, 7.0556e-03, 228337.6989, 1.0000, -1.0008e+00, 8.5381e+02, 0.66146, a<0
10.11, 0.00, 0.0003, 0.0003, 1.2651e-04, 0.0074, 0.0074, 2.5950e-04, 0.1248, 0.1248, 8.7746e-02, 8.5381e+02, 0.60325, a>0.4R_H
10.93, 0.00, 0.0807, 0.0807, -5.2625e-02, 0.1387, 0.1387, 1.0355e-01, 9099416.0523, 1.0000, -1.0003e+00, 8.5381e+02, 0.68984, a<0
10.12, 0.00, 0.0004, 0.0004, 2.2853e-04, 0.0085, 0.0085, 1.6060e-02, 0.1008, 0.1008, 5.9631e-02, 8.5381e+02, 0.60165, a>0.4R_H
10.05, 0.00, 0.0002, 0.0002, 7.7363e-05, 0.0089, 0.0089, 1.2111e-02, 0.2337, 0.2337, 2.3284e-02, 8.5381e+02, 0.61302, a>0.4R_H
10.60, 0.00, 0.0005, 0.0005, 7.3187e-05, 0.0107, 0.0107, 4.0422e-03, 236496.4013, 1.0000, -1.0008e+00, 8.5381e+02, 0.65260, a<0
3.80, 0.00, 0.4669, 0.0173, -3.4947e-01, 0.7477, 0.0765, 2.0838e+00, 0.2891, 0.0754, 3.0707e-01, 1.6735e+03, 1.43882, d<R_roche
