# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
3.67, 0.00, 0.2612, 0.0013, 1.6880e-01, 0.2250, 0.0010, 1.7604e-01, 1.0000e+05, 56.81891, tmax
3.66, 0.00, 0.2643, 0.0008, 1.6097e-01, 0.2310, 0.0013, 1.9104e-01, 1.0000e+05, 56.99846, tmax
3.55, 0.00, 0.4003, 0.0037, -4.0441e-01, 0.2772, 0.0010, 3.8275e+00, 9.6310e+04, 57.17304, d<R_roche
3.68, 0.00, 0.2595, 0.0007, 1.7194e-01, 0.2227, 0.0018, 2.1142e-01, 1.0000e+05, 57.19532, tmax
3.62, 0.00, 0.2659, 0.0006, 1.6948e-01, 0.2481, 0.0007, 2.3075e-01, 1.0000e+05, 57.52992, tmax
3.64, 0.00, 0.2730, 0.0007, 1.6755e-01, 0.2478, 0.0017, 1.5804e-01, 1.0000e+05, 57.56832, tmax
3.61, 0.00, 0.2669, 0.0008, 1.7074e-01, 0.2507, 0.0015, 1.5246e-01, 1.0000e+05, 57.93751, tmax
3.65, 0.00, 0.2647, 0.0009, 1.7207e-01, 0.2361, 0.0012, 1.1090e-01, 1.0000e+05, 58.01258, tmax
3.63, 0.00, 0.2706, 0.0000, 1.7079e-01, 0.2441, 0.0027, 2.0921e-01, 1.0000e+05, 58.07260, tmax
3.59, 0.00, 0.2746, 0.0011, 1.7588e-01, 0.2610, 0.0026, 1.0640e-01, 1.0000e+05, 58.30469, tmax
3.57, 0.00, 0.2985, 0.0010, 3.6614e-01, 0.2809, 0.0011, -2.9103e+00, 9.9448e+04, 58.52665, collision
3.60, 0.00, 0.2828, 0.0013, 1.6489e-01, 0.2642, 0.0018, 2.2757e-01, 1.0000e+05, 58.54903, tmax
3.56, 0.00, 0.2861, 0.0023, 1.6922e-01, 0.2829, 0.0012, 1.9282e-01, 1.0000e+05, 58.69409, tmax
3.54, 0.00, 0.2798, 0.0022, 1.7701e-01, 0.2783, 0.0010, 1.5092e-01, 1.0000e+05, 59.14682, tmax
3.58, 0.00, 0.2766, 0.0026, 1.7785e-01, 0.2624, 0.0023, 2.2999e-01, 1.0000e+05, 59.26670, tmax
3.51, 0.00, 0.2892, 0.0027, 1.7434e-01, 0.2887, 0.0013, 2.7387e-01, 1.0000e+05, 59.94584, tmax
4.10, 0.00, 0.1031, 0.0002, 1.7062e-01, 0.1072, 0.0001, 9.9397e-02, 1.0000e+05, 50.35970, tmax
4.12, 0.00, 0.0862, 0.0005, 1.7102e-01, 0.0889, 0.0007, -4.8341e-03, 1.0000e+05, 50.33762, tmax
4.15, 0.00, 0.0508, 0.0004, 1.7257e-01, 0.0758, 0.0004, 7.8310e-02, 1.0000e+05, 50.25478, tmax
4.11, 0.00, 0.0891, 0.0001, 1.6411e-01, 0.0909, 0.0007, 5.0491e-02, 1.0000e+05, 50.57352, tmax
4.14, 0.00, 0.0650, 0.0001, 1.7457e-01, 0.0802, 0.0005, 7.9091e-02, 1.0000e+05, 50.45320, tmax
4.13, 0.00, 0.0803, 0.0002, 1.6811e-01, 0.0916, 0.0005, 5.5249e-02, 1.0000e+05, 50.50350, tmax
4.17, 0.00, 0.0481, 0.0001, 1.7600e-01, 0.0752, 0.0003, 8.3345e-02, 1.0000e+05, 50.41799, tmax
4.20, 0.00, 0.0375, 0.0001, 1.7227e-01, 0.0753, 0.0004, 1.2715e-02, 1.0000e+05, 50.38312, tmax
4.21, 0.00, 0.0398, 0.0001, 1.7320e-01, 0.0760, 0.0003, 4.6465e-03, 1.0000e+05, 50.37306, tmax
4.19, 0.00, 0.0385, 0.0003, 1.7335e-01, 0.0755, 0.0014, 7.9207e-02, 1.0000e+05, 50.63228, tmax
4.16, 0.00, 0.0517, 0.0004, 1.7246e-01, 0.0756, 0.0006, 8.4819e-02, 1.0000e+05, 51.32172, tmax
4.25, 0.00, 0.0269, 0.0001, 1.7822e-01, 0.0699, 0.0006, 8.5243e-02, 1.0000e+05, 50.33145, tmax
4.23, 0.00, 0.1371, 0.0002, 1.6409e-01, 0.1562, 0.0003, 5.5114e-02, 1.0000e+05, 51.16288, tmax
4.28, 0.00, 0.0823, 0.0009, 1.7716e-01, 0.1087, 0.0007, 9.0643e-02, 1.0000e+05, 50.76154, tmax
4.29, 0.00, 0.0698, 0.0006, 1.7180e-01, 0.1291, 0.0010, 5.2930e-03, 1.0000e+05, 50.97200, tmax
4.18, 0.00, 0.0415, 0.0002, 1.7419e-01, 0.0748, 0.0008, 8.3168e-02, 1.0000e+05, 52.28721, tmax
4.37, 0.00, 0.0567, 0.0004, 1.7049e-01, 0.1078, 0.0004, 3.4629e-02, 1.0000e+05, 50.62711, tmax
4.42, 0.00, 0.0230, 0.0002, 1.7457e-01, 0.0762, 0.0004, -6.3270e-03, 1.0000e+05, 50.39026, tmax
4.44, 0.00, 0.0229, 0.0003, 1.7102e-01, 0.0808, 0.0014, 6.0499e-02, 1.0000e+05, 50.27474, tmax
4.45, 0.00, 0.0548, 0.0002, 1.7444e-01, 0.0933, 0.0011, -7.4971e-04, 1.0000e+05, 50.30696, tmax
4.33, 0.00, 0.1350, 0.0002, 1.7297e-01, 0.1503, 0.0010, 8.8794e-02, 1.0000e+05, 52.51140, tmax
4.49, 0.00, 0.0499, 0.0004, 1.7157e-01, 0.0907, 0.0014, 6.1328e-02, 1.0000e+05, 50.30177, tmax
4.51, 0.00, 0.0241, 0.0001, 1.7617e-01, 0.0780, 0.0009, 8.3352e-02, 1.0000e+05, 50.32827, tmax
4.48, 0.00, 0.1131, 0.0003, 1.7011e-01, 0.1393, 0.0008, 1.0721e-01, 1.0000e+05, 50.70254, tmax
4.53, 0.00, 0.0240, 0.0006, 1.7294e-01, 0.0846, 0.0008, 1.1487e-02, 1.0000e+05, 50.25460, tmax
4.55, 0.00, 0.0326, 0.0003, 1.7462e-01, 0.0792, 0.0005, -3.1518e-03, 1.0000e+05, 50.24598, tmax
4.39, 0.00, 0.2349, 0.0006, 1.4553e-01, 0.2144, 0.0008, 1.5380e-01, 1.0000e+05, 52.97328, tmax
4.46, 0.00, 0.2415, 0.0002, 1.4867e-01, 0.2230, 0.0003, 1.1323e-01, 1.0000e+05, 52.76602, tmax
4.43, 0.00, 0.2374, 0.0005, 1.5400e-01, 0.2522, 0.0009, 9.3750e-02, 1.0000e+05, 52.96324, tmax
4.58, 0.00, 0.1264, 0.0002, 1.6753e-01, 0.1506, 0.0019, 5.0249e-02, 1.0000e+05, 50.63931, tmax
4.59, 0.00, 0.1278, 0.0001, 1.7162e-01, 0.1540, 0.0005, 1.0097e-01, 1.0000e+05, 50.69164, tmax
4.57, 0.00, 0.1666, 0.0006, 1.6249e-01, 0.1735, 0.0005, 1.1421e-01, 1.0000e+05, 51.13068, tmax
4.22, 0.00, 0.3459, 0.0013, 1.5669e-01, 0.3364, 0.0049, 2.8276e-01, 1.0000e+05, 56.65127, tmax
4.61, 0.00, 0.0476, 0.0003, 1.7258e-01, 0.0961, 0.0011, 1.3938e-02, 1.0000e+05, 50.37545, tmax
4.40, 0.00, 0.2498, 0.0003, 1.5412e-01, 0.2483, 0.0010, 9.6843e-02, 1.0000e+05, 53.68200, tmax
4.52, 0.00, 0.2529, 0.0003, 1.5722e-01, 0.2798, 0.0010, 1.3496e-01, 1.0000e+05, 52.22090, tmax
4.32, 0.00, 0.3234, 0.0003, 1.5707e-01, 0.3062, 0.0002, 1.9881e-01, 1.0000e+05, 55.13665, tmax
4.38, 0.00, 0.2910, 0.0002, 1.5188e-01, 0.2735, 0.0012, 2.2583e-01, 1.0000e+05, 54.55392, tmax
4.47, 0.00, 0.2288, 0.0005, 1.5232e-01, 0.2267, 0.0010, 1.6215e-01, 1.0000e+05, 53.15646, tmax
4.64, 0.00, 0.0542, 0.0002, 1.7275e-01, 0.0952, 0.0006, 1.1223e-02, 1.0000e+05, 50.35289, tmax
4.54, 0.00, 0.2377, 0.0004, 1.5792e-01, 0.2338, 0.0015, 9.2009e-02, 1.0000e+05, 52.23136, tmax
4.35, 0.00, 0.3345, 0.0006, 1.5973e-01, 0.2973, 0.0002, 1.4806e-01, 1.0000e+05, 55.49698, tmax
4.66, 0.00, 0.1836, 0.0003, 1.6160e-01, 0.2089, 0.0003, 3.8356e-02, 1.0000e+05, 50.90858, tmax
4.56, 0.00, 0.2392, 0.0001, 1.5916e-01, 0.2321, 0.0015, 8.3168e-02, 1.0000e+05, 52.49872, tmax
4.41, 0.00, 0.2433, 0.0007, 1.5627e-01, 0.2365, 0.0010, 1.8621e-01, 1.0000e+05, 54.80574, tmax
4.50, 0.00, 0.2745, 0.0001, 1.6444e-01, 0.2689, 0.0017, 6.0590e-02, 1.0000e+05, 53.76988, tmax
4.63, 0.00, 0.1899, 0.0002, 1.6243e-01, 0.2023, 0.0008, 1.4543e-01, 1.0000e+05, 51.50640, tmax
4.62, 0.00, 0.2208, 0.0004, 1.5705e-01, 0.2287, 0.0009, 5.9437e-02, 1.0000e+05, 51.83899, tmax
4.65, 0.00, 0.1944, 0.0002, 1.6204e-01, 0.2052, 0.0012, 4.2306e-02, 1.0000e+05, 51.35459, tmax
4.67, 0.00, 0.1673, 0.0005, 1.6002e-01, 0.1862, 0.0004, 6.3961e-02, 1.0000e+05, 50.80566, tmax
4.68, 0.00, 0.1551, 0.0004, 1.6005e-01, 0.1726, 0.0009, 8.1577e-02, 1.0000e+05, 50.70437, tmax
4.31, 0.00, 0.3459, 0.0010, 1.7295e-01, 0.3056, 0.0004, 1.3409e-01, 1.0000e+05, 56.86847, tmax
4.60, 0.00, 0.2309, 0.0006, 1.5941e-01, 0.2371, 0.0008, 1.5443e-01, 1.0000e+05, 52.22625, tmax
4.27, 0.00, 0.3671, 0.0006, 1.7562e-01, 0.3331, 0.0017, 1.9553e-01, 1.0000e+05, 58.06006, tmax
4.36, 0.00, 0.3056, 0.0006, 1.6833e-01, 0.2648, 0.0010, 1.6332e-01, 1.0000e+05, 56.76823, tmax
4.34, 0.00, 0.3481, 0.0005, 1.6929e-01, 0.3293, 0.0006, 1.3960e-01, 1.0000e+05, 56.88836, tmax
4.69, 0.00, 0.1593, 0.0002, 1.6063e-01, 0.1723, 0.0009, 4.8989e-02, 1.0000e+05, 50.90059, tmax
4.30, 0.00, 0.3401, 0.0011, 1.8023e-01, 0.3028, 0.0010, 1.2354e-01, 1.0000e+05, 58.18379, tmax
4.24, 0.00, 0.5280, 0.0027, -3.8427e-01, 0.3837, 0.0023, 1.5401e+00, 9.7608e+04, 59.65010, d<R_roche
4.26, 0.00, 0.3326, 0.0007, 1.9763e-01, 0.3493, 0.0020, 1.7994e-01, 1.0000e+05, 59.91831, tmax
4.72, 0.00, 0.0281, 0.0001, 1.7555e-01, 0.0809, 0.0000, 8.1652e-02, 1.0000e+05, 49.90906, tmax
4.73, 0.00, 0.0449, 0.0002, 1.7204e-01, 0.0931, 0.0006, 1.9269e-02, 1.0000e+05, 49.93908, tmax
4.71, 0.00, 0.0568, 0.0002, 1.7401e-01, 0.0961, 0.0001, -6.1153e-03, 1.0000e+05, 50.08687, tmax
4.75, 0.00, 0.0359, 0.0003, 1.7542e-01, 0.0924, 0.0010, 9.0026e-02, 1.0000e+05, 49.89172, tmax
4.74, 0.00, 0.0256, 0.0002, 1.7559e-01, 0.0809, 0.0005, -9.3625e-03, 1.0000e+05, 50.13588, tmax
4.70, 0.00, 0.1522, 0.0001, 1.6488e-01, 0.1515, 0.0005, 2.2276e-02, 1.0000e+05, 50.58181, tmax
4.76, 0.00, 0.1372, 0.0002, 1.6689e-01, 0.1569, 0.0004, 3.5328e-02, 1.0000e+05, 50.05505, tmax
4.77, 0.00, 0.1011, 0.0003, 1.7143e-01, 0.1151, 0.0003, 1.0049e-01, 1.0000e+05, 50.05594, tmax
4.78, 0.00, 0.1360, 0.0001, 1.7242e-01, 0.1646, 0.0002, 1.0182e-01, 1.0000e+05, 50.01762, tmax
4.79, 0.00, 0.0928, 0.0003, 1.7041e-01, 0.1304, 0.0002, 9.9705e-02, 1.0000e+05, 50.03127, tmax
4.81, 0.00, 0.0792, 0.0005, 1.6826e-01, 0.1238, 0.0007, 7.9403e-02, 1.0000e+05, 49.97431, tmax
4.80, 0.00, 0.0917, 0.0003, 1.7180e-01, 0.1194, 0.0002, 9.8985e-02, 1.0000e+05, 50.23080, tmax
4.82, 0.00, 0.0587, 0.0001, 1.7209e-01, 0.0973, 0.0004, 7.7958e-03, 1.0000e+05, 49.90743, tmax
4.83, 0.00, 0.0473, 0.0001, 1.7279e-01, 0.0939, 0.0004, 6.3190e-03, 1.0000e+05, 50.27128, tmax
4.84, 0.00, 0.0343, 0.0001, 1.7336e-01, 0.0985, 0.0002, -4.3620e-03, 1.0000e+05, 49.99591, tmax
4.85, 0.00, 0.0271, 0.0004, 1.7404e-01, 0.0871, 0.0010, 6.7110e-04, 1.0000e+05, 49.87540, tmax
4.86, 0.00, 0.0264, 0.0002, 1.7614e-01, 0.0818, 0.0006, 8.5735e-02, 1.0000e+05, 49.98955, tmax
4.87, 0.00, 0.0286, 0.0003, 1.7543e-01, 0.0821, 0.0007, 8.3581e-02, 1.0000e+05, 49.95470, tmax
4.89, 0.00, 0.0270, 0.0003, 1.7343e-01, 0.0828, 0.0002, 2.8341e-02, 1.0000e+05, 49.99845, tmax
4.88, 0.00, 0.0262, 0.0002, 1.7375e-01, 0.0822, 0.0011, 1.7079e-02, 1.0000e+05, 50.28542, tmax
4.90, 0.00, 0.0255, 0.0002, 1.7745e-01, 0.0816, 0.0006, 9.1008e-02, 1.0000e+05, 49.88129, tmax
4.91, 0.00, 0.0270, 0.0001, 1.7651e-01, 0.0825, 0.0002, 8.8497e-02, 1.0000e+05, 49.99891, tmax
4.92, 0.00, 0.0274, 0.0002, 1.7717e-01, 0.0826, 0.0007, 8.8875e-02, 1.0000e+05, 49.96098, tmax
4.93, 0.00, 0.0272, 0.0002, 1.7544e-01, 0.0834, 0.0015, 8.5200e-02, 1.0000e+05, 50.05181, tmax
4.94, 0.00, 0.0261, 0.0000, 1.7453e-01, 0.0829, 0.0006, 5.4005e-03, 1.0000e+05, 49.99257, tmax
4.96, 0.00, 0.0260, 0.0004, 1.7404e-01, 0.0837, 0.0005, 7.6275e-02, 1.0000e+05, 49.96920, tmax
4.95, 0.00, 0.0284, 0.0002, 1.7493e-01, 0.0838, 0.0019, 8.1517e-02, 1.0000e+05, 49.98090, tmax
4.97, 0.00, 0.0273, 0.0003, 1.7490e-01, 0.0843, 0.0009, 3.0720e-03, 1.0000e+05, 49.93790, tmax
4.99, 0.00, 0.0263, 0.0001, 1.7316e-01, 0.0841, 0.0004, 4.4311e-02, 1.0000e+05, 49.92478, tmax
5.00, 0.00, 0.0289, 0.0003, 1.7331e-01, 0.0843, 0.0003, 5.7014e-02, 1.0000e+05, 49.91985, tmax
5.01, 0.00, 0.0254, 0.0002, 1.7545e-01, 0.0826, 0.0013, 8.3384e-02, 1.0000e+05, 49.88124, tmax
5.02, 0.00, 0.0263, 0.0003, 1.7402e-01, 0.0844, 0.0003, 7.2512e-02, 1.0000e+05, 49.81498, tmax
5.03, 0.00, 0.0273, 0.0001, 1.7412e-01, 0.0844, 0.0004, 1.9300e-02, 1.0000e+05, 49.89285, tmax
5.04, 0.00, 0.0271, 0.0001, 1.7391e-01, 0.0842, 0.0004, 3.0190e-02, 1.0000e+05, 49.89234, tmax
4.98, 0.00, 0.0273, 0.0002, 1.7456e-01, 0.0840, 0.0003, 7.3094e-03, 1.0000e+05, 50.38210, tmax
5.05, 0.00, 0.0296, 0.0003, 1.7749e-01, 0.0850, 0.0003, 9.0306e-02, 1.0000e+05, 50.00025, tmax
5.06, 0.00, 0.0271, 0.0001, 1.7599e-01, 0.0837, 0.0003, -9.6318e-03, 1.0000e+05, 49.91695, tmax
5.08, 0.00, 0.0274, 0.0003, 1.7565e-01, 0.0856, 0.0010, 8.3747e-02, 1.0000e+05, 49.90176, tmax
5.09, 0.00, 0.0274, 0.0003, 1.7455e-01, 0.0838, 0.0001, 1.8618e-02, 1.0000e+05, 49.93393, tmax
