# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
3.57, 0.00, 0.1156, 0.0001, 3.3407e-02, 0.1104, 0.0008, 8.3213e-02, 1.0000e+05, 57.83174, tmax
3.56, 0.00, 0.1093, 0.0005, 3.6064e-02, 0.1012, 0.0002, 9.1486e-02, 1.0000e+05, 57.84655, tmax
3.80, 0.00, 0.0200, 0.0001, 3.4227e-02, 0.0732, 0.0005, 7.3104e-02, 1.0000e+05, 57.91377, tmax
3.55, 0.00, 0.1198, 0.0004, 3.1432e-02, 0.1103, 0.0004, 4.9330e-02, 1.0000e+05, 57.96661, tmax
3.87, 0.00, 0.0210, 0.0003, 3.3140e-02, 0.0732, 0.0011, 3.4112e-02, 1.0000e+05, 58.17903, tmax
3.53, 0.00, 0.1280, 0.0005, 2.3353e-02, 0.1160, 0.0018, 6.8315e-02, 1.0000e+05, 58.27204, tmax
3.58, 0.00, 0.1028, 0.0011, 3.3245e-02, 0.1053, 0.0001, 2.9415e-04, 1.0000e+05, 58.27860, tmax
3.52, 0.00, 0.1312, 0.0016, 2.4403e-02, 0.1161, 0.0008, 1.0149e-01, 1.0000e+05, 58.50891, tmax
3.51, 0.00, 0.1365, 0.0007, 2.7379e-02, 0.1221, 0.0009, 1.2675e-02, 1.0000e+05, 59.21974, tmax
3.54, 0.00, 0.1269, 0.0011, 3.6884e-02, 0.1151, 0.0008, 9.2762e-02, 1.0000e+05, 59.48860, tmax
3.50, 0.00, 0.1525, 0.0012, 2.9521e-02, 0.1388, 0.0008, 9.8720e-02, 1.0000e+05, 59.56093, tmax
3.90, 0.00, 0.0212, 0.0001, 3.8513e-02, 0.0740, 0.0010, 8.4165e-02, 1.0000e+05, 59.80107, tmax
3.71, 0.00, 0.0297, 0.0001, 3.6321e-02, 0.0718, 0.0013, 8.2125e-02, 1.0000e+05, 59.93322, tmax
4.08, 0.00, 0.0223, 0.0003, 3.4896e-02, 0.0753, 0.0004, 8.7079e-03, 1.0000e+05, 60.03473, tmax
3.88, 0.00, 0.0211, 0.0004, 3.3245e-02, 0.0726, 0.0006, 3.3143e-02, 1.0000e+05, 60.07266, tmax
3.65, 0.00, 0.0548, 0.0002, 3.3940e-02, 0.0762, 0.0003, 1.1952e-02, 1.0000e+05, 62.65155, tmax
4.12, 0.00, 0.0226, 0.0006, 3.9076e-02, 0.0760, 0.0006, 8.6149e-02, 1.0000e+05, 56.84306, tmax
4.14, 0.00, 0.0224, 0.0003, 3.3631e-02, 0.0760, 0.0006, 3.6469e-02, 1.0000e+05, 56.80304, tmax
4.19, 0.00, 0.0222, 0.0002, 3.8797e-02, 0.0761, 0.0008, 8.9592e-02, 1.0000e+05, 56.76527, tmax
4.11, 0.00, 0.0225, 0.0003, 3.6545e-02, 0.0753, 0.0007, -1.2518e-02, 1.0000e+05, 56.89577, tmax
4.17, 0.00, 0.0223, 0.0001, 3.5861e-02, 0.0764, 0.0005, -2.2814e-03, 1.0000e+05, 56.80158, tmax
4.15, 0.00, 0.0224, 0.0003, 3.8885e-02, 0.0757, 0.0006, 8.6525e-02, 1.0000e+05, 56.83382, tmax
4.10, 0.00, 0.0224, 0.0002, 3.4048e-02, 0.0752, 0.0010, 2.4911e-02, 1.0000e+05, 56.96546, tmax
4.16, 0.00, 0.0224, 0.0003, 3.6144e-02, 0.0762, 0.0011, -7.6802e-03, 1.0000e+05, 56.86713, tmax
4.20, 0.00, 0.0218, 0.0004, 3.8196e-02, 0.0763, 0.0006, 8.8859e-02, 1.0000e+05, 56.87116, tmax
4.37, 0.00, 0.0231, 0.0002, 3.6512e-02, 0.0779, 0.0004, 8.2892e-02, 1.0000e+05, 56.71148, tmax
4.13, 0.00, 0.0226, 0.0004, 3.3872e-02, 0.0755, 0.0009, 3.2649e-02, 1.0000e+05, 57.07097, tmax
4.18, 0.00, 0.0223, 0.0003, 3.6381e-02, 0.0759, 0.0012, -1.1433e-02, 1.0000e+05, 57.00545, tmax
