# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.48, 0.00, 0.5967, 0.0001, 1.8245e+00, 0.5216, 0.0001, -1.2622e-01, 4.1202e+06, 1630.87414, collision
5.52, 0.00, 0.7338, 0.0001, -4.1837e-02, 0.5982, 0.0002, 7.9226e-01, 8.5285e+06, 2910.84208, d<R_roche
5.74, 0.00, 0.4736, 0.0001, 5.7014e-01, 0.5897, 0.0001, -3.2315e+00, 8.4938e+06, 2913.56536, collision
5.79, 0.00, 0.4086, 0.0003, 2.3659e+00, 0.5101, 0.0001, -4.4799e-02, 5.9799e+06, 2162.08961, collision
3.67, 0.00, 0.4813, 0.0002, -7.5658e+00, 0.2918, 0.0006, -4.1680e-01, 7.3706e+05, 417.23774, collision
8.37, 0.00, 0.0012, 0.0000, 6.9416e-01, 0.1863, 0.0003, 2.6480e-02, 1.0000e+07, 3169.68256, tmax
8.31, 0.00, 0.0019, 0.0000, 6.9361e-01, 0.1768, 0.0001, 8.2948e-02, 1.0000e+07, 3170.79108, tmax
8.32, 0.00, 0.0018, 0.0000, 6.9338e-01, 0.1799, 0.0001, 3.5849e-02, 1.0000e+07, 3174.10508, tmax
8.39, 0.00, 0.0019, 0.0000, 6.9424e-01, 0.1886, 0.0003, -6.3704e-03, 1.0000e+07, 3192.61577, tmax
8.02, 0.00, 0.0205, 0.0000, 6.9173e-01, 0.1498, 0.0002, 1.2094e-02, 1.0000e+07, 3200.24693, tmax
7.57, 0.00, 0.0366, 0.0007, 6.7908e-01, 0.1286, 0.0002, 7.7716e-02, 1.0000e+07, 3205.19813, tmax
8.42, 0.00, 0.0011, 0.0000, 6.8008e-01, 0.1963, 0.0002, 2.8361e-02, 1.0000e+07, 3207.11869, tmax
8.18, 0.00, 0.0034, 0.0002, 6.9264e-01, 0.1633, 0.0001, 1.5350e-02, 1.0000e+07, 3216.54301, tmax
6.64, 0.00, 0.0405, 0.0006, 6.8166e-01, 0.1051, 0.0001, -4.5454e-03, 1.0000e+07, 3217.35831, tmax
6.39, 0.00, 0.0654, 0.0004, 6.8267e-01, 0.1028, 0.0001, 9.7217e-02, 1.0000e+07, 3217.82592, tmax
6.21, 0.00, 0.0473, 0.0001, 6.7709e-01, 0.0996, 0.0000, 5.7063e-02, 1.0000e+07, 3224.53604, tmax
8.43, 0.00, 0.0010, 0.0000, 6.7544e-01, 0.1978, 0.0001, 1.4330e-01, 1.0000e+07, 3224.99750, tmax
7.66, 0.00, 0.0137, 0.0000, 6.8398e-01, 0.1323, 0.0001, 4.9978e-02, 1.0000e+07, 3225.90379, tmax
6.88, 0.00, 0.0610, 0.0002, 6.8437e-01, 0.1112, 0.0001, -4.7352e-03, 1.0000e+07, 3227.31020, tmax
6.10, 0.00, 0.0396, 0.0002, 6.7921e-01, 0.0999, 0.0001, 2.2541e-03, 1.0000e+07, 3228.84382, tmax
7.92, 0.00, 0.0441, 0.0000, 6.9297e-01, 0.1457, 0.0001, 1.0344e-01, 1.0000e+07, 3233.98656, tmax
6.05, 0.00, 0.2259, 0.0004, 6.6442e-01, 0.1872, 0.0000, 7.1987e-02, 1.0000e+07, 3238.49070, tmax
7.81, 0.00, 0.0843, 0.0000, 6.9813e-01, 0.1401, 0.0001, 1.2607e-03, 1.0000e+07, 3238.81685, tmax
7.79, 0.00, 0.0915, 0.0001, 6.9929e-01, 0.1375, 0.0001, 8.4626e-03, 1.0000e+07, 3248.95872, tmax
7.86, 0.00, 0.0721, 0.0000, 6.9640e-01, 0.1419, 0.0002, 2.8239e-02, 1.0000e+07, 3252.90293, tmax
7.48, 0.00, 0.0925, 0.0007, 6.8553e-01, 0.1361, 0.0002, 1.1400e-01, 1.0000e+07, 3253.67059, tmax
